Node_O,Node_D,FF_Time
1,48,130
1,50,79
1,51,48
1,52,111
1,72,45
1,109,316
1,121,345
1,132,352
1,135,299
1,174,241
1,176,247
1,181,259
1,184,284
1,192,79
1,197,165
1,208,352
1,217,226
1,221,291
1,230,355
1,246,360
1,251,369
16,32,146
16,50,147
16,52,65
16,72,140
27,32,74
27,51,46
27,72,45
27,132,364
27,174,252
27,176,258
27,184,295
27,208,395
27,221,331
27,246,372
27,251,392
29,32,40
29,72,29
29,208,368
29,221,312
29,230,339
29,251,365
30,32,54
30,51,24
30,121,332
30,132,336
30,174,225
30,176,230
30,181,249
30,184,268
30,208,346
30,217,209
30,221,304
30,246,344
30,251,364
39,32,97
39,50,107
39,72,89
39,176,234
39,184,272
39,192,125
39,208,336
39,221,275
39,246,348
39,251,360
48,48,49
48,121,236
48,132,239
48,174,128
48,176,132
48,184,176
48,208,259
48,217,116
48,221,208
48,230,252
48,246,257
48,251,286
98,10,99
98,15,133
98,32,228
98,50,278
98,51,239
98,52,190
98,72,258
98,109,228
98,121,258
98,132,262
98,174,31
98,192,301
98,195,216
98,197,319
98,208,271
98,217,24
98,230,231
98,246,236
98,251,263
99,10,90
99,15,125
99,32,228
99,50,270
99,51,229
99,52,182
99,72,248
99,99,11
99,109,217
99,121,248
99,132,252
99,135,218
99,174,26
99,175,16
99,176,29
99,192,293
99,195,207
99,197,310
99,208,283
99,230,223
99,246,227
99,251,252
107,9,238
107,13,250
107,15,288
107,32,408
107,50,439
107,51,398
107,52,359
107,62,236
107,63,222
107,72,417
107,82,230
107,86,245
107,93,207
107,94,192
107,109,46
107,121,93
107,135,48
107,140,163
107,141,232
107,142,247
107,143,265
107,157,292
107,174,268
107,176,274
107,181,294
107,184,312
107,192,464
107,195,387
107,205,178
107,208,138
107,217,253
107,221,356
107,230,381
107,233,333
107,234,352
107,235,375
107,246,386
107,251,410
110,15,240
110,32,349
110,50,379
110,63,158
110,72,357
110,93,150
110,110,1
110,121,45
110,132,32
110,135,8
110,176,214
110,184,252
110,205,121
110,208,88
110,217,193
110,221,295
110,230,327
110,243,315
110,246,332
110,251,351
122,9,201
122,10,204
122,15,244
122,32,350
122,50,360
122,62,183
122,63,168
122,72,366
122,93,156
122,94,138
122,95,179
122,109,34
122,132,59
122,135,33
122,140,121
122,141,195
122,157,239
122,174,217
122,176,223
122,181,243
122,184,261
122,205,130
122,208,114
122,217,202
122,221,295
122,230,335
122,234,305
122,246,340
122,251,353
134,32,353
134,63,164
134,93,149
134,109,9
134,121,55
134,132,32
134,208,98
134,221,300
134,246,336
134,251,358
137,9,254
137,10,261
137,11,288
137,13,261
137,15,288
137,26,394
137,32,381
137,48,414
137,50,407
137,51,378
137,52,331
137,62,242
137,63,229
137,72,403
137,78,325
137,85,241
137,86,249
137,93,215
137,94,198
137,95,231
137,100,329
137,109,102
137,121,99
137,132,128
137,135,102
137,136,67
137,137,60
137,138,93
137,139,112
137,140,151
137,141,245
137,142,256
137,143,280
137,157,300
137,174,274
137,176,280
137,181,291
137,184,318
137,188,317
137,192,455
137,195,361
137,197,478
137,205,187
137,217,247
137,221,336
137,227,370
137,229,391
137,230,379
137,232,372
137,233,344
137,234,361
137,235,382
137,239,385
137,243,380
137,246,393
137,251,396
146,152,30
146,230,103
146,246,109
146,251,122
147,153,29
147,230,103
147,246,106
147,251,114
161,10,180
161,15,189
161,32,282
161,48,338
161,50,340
161,51,301
161,52,247
161,72,321
161,109,299
161,121,308
161,132,295
161,135,288
161,181,90
161,184,77
161,192,365
161,195,257
161,197,380
161,208,326
161,230,312
161,246,309
161,251,311
177,15,123
177,32,224
177,50,268
177,51,226
177,72,246
177,121,246
177,132,250
177,176,29
177,192,290
177,208,267
177,217,16
177,230,221
177,246,226
177,251,250
179,10,128
179,15,160
179,32,240
179,50,273
179,51,261
179,52,216
179,72,281
179,121,281
179,132,275
179,181,22
179,195,222
179,208,282
179,221,94
179,246,266
179,251,278
182,15,168
182,32,280
182,50,311
182,51,269
182,72,288
182,109,258
182,121,289
182,132,292
182,184,37
182,192,336
182,208,323
182,221,77
182,230,268
182,246,274
182,251,293
193,132,324
193,176,215
193,184,261
193,208,322
193,221,263
193,230,333
193,246,339
193,251,358
194,32,63
194,50,66
194,72,57
194,192,87
194,221,350
194,251,407
197,176,149
197,181,173
197,184,187
197,197,47
197,208,261
197,217,133
197,221,226
197,230,267
197,246,271
197,251,299
224,9,220
224,10,226
224,11,246
224,13,279
224,15,241
224,23,339
224,25,327
224,32,341
224,48,374
224,50,362
224,51,347
224,52,310
224,54,110
224,55,177
224,58,151
224,59,219
224,61,203
224,66,219
224,69,267
224,70,190
224,72,370
224,73,309
224,75,200
224,76,253
224,77,311
224,79,243
224,84,233
224,89,265
224,102,315
224,103,341
224,104,327
224,105,340
224,109,345
224,114,355
224,120,369
224,121,374
224,130,357
224,132,349
224,135,320
224,144,100
224,152,143
224,153,124
224,159,323
224,160,334
224,174,296
224,176,302
224,181,321
224,184,339
224,190,117
224,191,126
224,192,399
224,195,320
224,197,438
224,204,363
224,208,373
224,210,351
224,215,276
224,217,281
224,221,367
224,230,66
224,236,57
224,246,53
224,249,91
244,9,201
244,15,251
244,26,348
244,32,364
244,50,396
244,51,355
244,54,96
244,55,165
244,58,141
244,61,192
244,69,285
244,70,177
244,109,340
244,121,367
244,132,370
244,135,340
244,144,87
244,152,137
244,153,126
244,176,282
244,184,326
244,191,113
244,192,422
244,195,340
244,208,412
244,217,264
244,221,369
244,246,41
244,249,78
244,251,60
248,9,199
248,10,216
248,15,241
248,26,339
248,32,339
248,50,391
248,51,327
248,52,299
248,54,95
248,55,163
248,58,138
248,61,186
248,69,282
248,70,177
248,72,367
248,73,289
248,75,177
248,76,226
248,109,340
248,121,367
248,132,346
248,135,316
248,144,86
248,152,133
248,153,124
248,174,277
248,176,282
248,184,326
248,190,104
248,191,111
248,192,411
248,195,324
248,197,428
248,208,374
248,217,264
248,221,364
248,230,36
248,249,77
248,251,72
