trip_ID,O,D,trip_start,distance,travel_time,mode,passengers
1,248,217,257,21602,348.0,1,1
2,248,217,185,21602,348.0,1,1
3,248,217,409,21602,330.0,1,1
4,248,217,315,21602,330.0,1,1
5,248,217,783,21602,316.0,1,1
6,248,217,732,21602,316.0,1,1
7,248,217,903,21602,329.0,1,1
8,248,217,1011,21602,329.0,1,1
9,248,217,1273,21602,329.0,1,1
10,248,217,1275,21602,329.0,1,1
11,248,217,1680,21602,329.0,1,1
12,248,217,1654,21602,329.0,1,1
13,248,153,249,8196,139.0,1,1
14,248,153,338,8196,139.0,1,1
15,248,153,602,8196,122.0,1,1
16,248,153,1153,8196,124.0,1,1
17,248,153,1314,8196,126.0,1,1
18,248,153,1510,8196,133.0,1,1
19,248,152,39,8949,159.0,1,1
20,248,152,246,8949,159.0,1,1
21,248,152,249,8949,159.0,1,1
22,248,152,87,8949,159.0,1,1
23,248,152,95,8949,159.0,1,1
24,248,152,121,8949,159.0,1,1
25,248,152,445,8949,182.0,1,1
26,248,152,314,8949,182.0,1,1
27,248,152,469,8949,182.0,1,1
28,248,152,383,8949,182.0,1,1
29,248,152,462,8949,182.0,1,1
30,248,152,303,8949,182.0,2,3
31,248,152,721,8949,171.0,1,1
32,248,152,792,8949,171.0,1,1
33,248,152,676,8949,171.0,1,1
34,248,152,873,8949,171.0,1,1
35,248,152,703,8949,171.0,1,1
36,248,152,882,8949,171.0,1,1
37,248,152,1089,8949,174.0,1,1
38,248,152,1070,8949,174.0,1,1
39,248,152,1161,8949,174.0,1,1
40,248,152,1001,8949,174.0,1,1
41,248,152,976,8949,174.0,1,1
42,248,152,1037,8949,174.0,1,1
43,248,152,1348,8949,190.0,1,1
44,248,152,1364,8949,190.0,1,1
45,248,152,1272,8949,190.0,1,1
46,248,152,1316,8949,190.0,1,1
47,248,152,1351,8949,190.0,1,1
48,248,152,1297,8949,190.0,1,1
49,248,152,1581,8949,189.0,2,4
50,248,152,1586,8949,189.0,1,1
51,248,152,1600,8949,189.0,1,1
52,248,152,1696,8949,189.0,1,1
53,248,152,1681,8949,189.0,1,1
54,248,152,1672,8949,189.0,1,1
55,248,195,274,26052,328.0,1,1
56,248,197,30,31289,434.0,1,1
57,248,197,1794,31289,416.0,1,1
58,248,197,156,31289,434.0,1,1
59,248,197,982,31289,417.0,1,1
60,248,197,1486,31289,416.0,1,1
61,248,192,298,31465,429.0,1,1
62,248,192,543,31465,415.0,1,1
63,248,192,891,31465,421.0,1,1
64,248,192,917,31465,418.0,1,1
65,248,192,1348,31465,418.0,1,1
66,248,192,1762,31465,418.0,1,1
67,248,132,79,29664,382.0,1,1
68,248,132,153,29664,382.0,1,1
69,248,132,270,29664,382.0,1,1
70,248,132,37,29664,382.0,1,1
71,248,132,367,29664,389.0,1,1
72,248,132,464,29664,389.0,1,1
73,248,132,416,29664,389.0,1,1
74,248,132,487,29664,389.0,1,1
75,248,132,752,29664,397.0,1,1
76,248,132,713,29664,397.0,1,1
77,248,132,876,29664,397.0,1,1
78,248,132,899,29664,397.0,1,1
79,248,132,992,29664,406.0,1,1
80,248,132,1191,29664,406.0,1,1
81,248,132,1066,29664,406.0,1,1
82,248,132,1141,29664,406.0,1,1
83,248,132,1256,29664,367.0,1,1
84,248,132,1280,29664,367.0,1,1
85,248,132,1461,29664,367.0,1,1
86,248,132,1268,29664,367.0,1,1
87,248,132,1687,29664,389.0,1,1
88,248,132,1797,29664,389.0,1,1
89,248,132,1711,29664,389.0,1,1
90,248,132,1656,29664,389.0,1,1
91,248,135,1760,27636,328.0,1,1
92,248,135,1412,27636,328.0,1,1
93,248,176,251,22754,390.0,1,1
94,248,176,241,22754,390.0,1,1
95,248,176,179,22754,390.0,1,1
96,248,176,257,22754,390.0,1,1
97,248,176,416,22754,423.0,1,1
98,248,176,502,22754,423.0,1,1
99,248,176,519,22754,423.0,1,1
100,248,176,496,22754,423.0,1,1
101,248,176,895,22754,378.0,1,1
102,248,176,671,22754,378.0,1,1
103,248,176,884,22754,378.0,1,1
104,248,176,626,22754,378.0,1,1
105,248,176,934,22754,380.0,1,1
106,248,176,970,22754,380.0,1,1
107,248,176,1023,22754,380.0,1,1
108,248,176,1110,22754,380.0,1,1
