Node,X,Y
429,4907.636,1907.703
430,4907.924,1907.703
431,4904.715,1789.516
432,4904.715,1789.516
425,2738.611,3375.350
426,2729.325,3375.350
427,4878.535,1883.558
428,4896.938,1883.558
421,6297.406,-1264.320
422,6298.525,-1264.320
423,2742.201,3374.484
424,2740.220,3374.484
417,6389.764,-1241.186
418,6404.091,-1241.186
419,6385.824,-1244.947
420,6392.271,-1244.947
327,5381.313,2095.582
328,4916.325,2095.582
433,4940.133,1900.704
434,4922.222,1900.704
435,1573.878,588.229
436,1569.417,588.229
265,6553.009,-811.288
266,6085.308,-811.288
263,5784.499,-1462.438
264,5630.047,-1462.438
261,6130.264,-1417.691
262,5785.838,-1417.691
259,6362.420,-1323.010
260,6131.068,-1323.010
273,8247.955,-1658.066
274,6955.146,-1658.066
271,6955.627,-1480.450
272,6771.453,-1480.450
269,6314.045,-1176.825
270,6281.083,-1176.825
267,6261.939,-1209.466
268,6280.945,-1209.466
277,6079.319,-634.625
278,5888.282,-634.625
275,6768.283,-819.244
276,6077.813,-819.244
329,4912.694,1848.326
330,4485.255,1848.326
47,1201.746,629.476
48,1025.903,629.476
49,1024.672,656.511
50,771.834,656.511
51,770.341,638.447
52,341.628,638.447
53,-330.101,465.215
54,205.119,465.215
39,1582.887,736.506
40,1636.583,736.506
41,1582.742,662.244
42,771.870,662.244
43,1634.845,665.698
44,1494.442,665.698
45,1024.310,510.172
46,70.257,510.172
317,6096.500,2700.732
318,6346.905,2700.732
55,206.239,481.200
56,340.712,481.200
57,316.792,560.262
58,352.827,560.262
319,6958.925,2714.127
320,6340.308,2714.127
7,3581.255,995.017
8,3759.266,995.017
15,4001.630,855.482
16,3562.067,855.482
323,6259.950,2632.132
324,6043.068,2632.132
237,6624.424,-1222.280
238,6636.326,-1222.280
239,6711.720,-1146.022
240,6814.335,-1146.022
241,6828.259,-984.032
242,7027.719,-984.032
243,6998.204,-1131.064
244,6787.632,-1131.064
245,6282.789,-1298.294
246,6329.947,-1298.294
247,3977.431,1603.612
248,3830.044,1603.612
249,6785.012,-1150.123
250,6739.541,-1150.123
251,6738.248,-1181.056
252,6654.673,-1181.056
253,6652.568,-1198.713
254,6595.867,-1198.713
255,6586.650,-1241.267
256,6447.398,-1241.267
257,6443.174,-1261.052
258,6364.534,-1261.052
331,4918.054,1536.320
332,4179.654,1536.320
235,6553.453,-1192.854
236,6709.064,-1192.854
117,4062.076,885.407
118,4299.319,885.407
115,2847.834,2169.183
116,3335.478,2169.183
109,3336.520,1767.919
110,3637.324,1767.919
107,2722.890,3387.154
108,2792.246,3387.154
113,4203.180,1607.395
114,3833.827,1607.395
111,2346.274,637.678
112,1652.807,637.678
101,348.746,748.243
102,323.678,748.243
99,281.436,365.378
100,-415.000,365.378
105,1646.709,486.555
106,1575.134,486.555
103,1656.809,947.924
104,1593.459,947.924
