LINK,DIR,LANES,TYPE,USE,MIN_TYPE,MAX_TYPE,MIN_TRAV,MAX_TRAV,START,END,LENGTH,OFFSET,TOLL,TOLL_RATE,MIN_DELAY,MAX_DELAY,SPEED,SPD_FAC,CAPACITY,CAP_FAC,NOTES
368,0,2,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
368,0,1,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
446,0,1,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
677,0,1,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
726,1,1,PROHIBIT,CAR|BUS,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf lane off (normal flow)
726,1,1,PROHIBIT,CAR|BUS,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf lane off (normal flow)
734,1,1,PROHIBIT,CAR|BUS,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf lane off (normal flow)
734,1,1,PROHIBIT,CAR|BUS,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf lane off (normal flow)
771,0,1,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
978,0,1,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
