NODE,X_COORD,Y_COORD,Z_COORD,SUBAREA,NOTES
1,772286.1,3312254.9,0.0,0,Network Node
2,772550.5,3312438.0,0.0,0,Network Node
3,772417.2,3312263.9,0.0,0,Network Node
4,772729.9,3312339.5,0.0,0,Network Node
5,769646.5,3313923.3,0.0,0,Network Node
6,770494.6,3314343.9,0.0,0,Network Node
7,772399.0,3313253.9,0.0,0,Network Node
8,773246.9,3313185.8,0.0,0,Network Node
9,772526.1,3314366.4,0.0,0,Network Node
10,772956.3,3314357.9,0.0,0,Network Node
11,775113.5,3321928.0,0.0,0,
12,772461.8,3317322.0,0.0,0,
13,772246.1,3318649.7,0.0,0,Network Node
14,772395.1,3318726.9,0.0,0,Network Node
15,772561.3,3319406.6,0.0,0,Network Node
16,772628.2,3319406.5,0.0,0,Network Node
17,772089.7,3320199.1,0.0,0,Network Node
18,772537.8,3320197.4,0.0,0,Network Node
19,772339.9,3322628.7,0.0,0,Network Node
20,772540.6,3322617.6,0.0,0,Network Node
21,772175.9,3323858.6,0.0,0,Network Node
22,772613.9,3323840.1,0.0,0,Network Node
23,772596.3,3312709.6,0.0,0,Network Node
24,772394.0,3312473.0,0.0,0,Network Node
25,772719.1,3312615.5,0.0,0,Network Node
26,772477.6,3312403.5,0.0,0,Network Node
27,772445.1,3317347.0,0.0,0,
29,772467.3,3318806.6,0.0,0,Network Node
30,772240.5,3318733.1,0.0,0,Network Node
31,772285.1,3318727.9,0.0,0,Network Node
32,772275.9,3318711.8,0.0,0,Network Node
33,772462.8,3319427.4,0.0,0,Network Node
34,772299.7,3319432.0,0.0,0,Network Node
35,766447.1,3318844.7,0.0,0,Network Node
36,766441.3,3318823.0,0.0,0,Network Node
37,772342.0,3322686.7,0.0,0,Network Node
38,772021.1,3322714.1,0.0,0,Network Node
39,772318.4,3323903.0,0.0,0,Network Node
40,772139.7,3323912.4,0.0,0,Network Node
41,771773.6,3321655.6,0.0,0,Network Node
42,772834.3,3321925.7,0.0,0,Network Node
43,771572.7,3322320.2,0.0,0,Network Node
44,772825.2,3322012.1,0.0,0,Network Node
45,793559.1,3313632.4,0.0,0,Network Node
46,795416.6,3313675.0,0.0,0,Network Node
47,759612.2,3312597.1,0.0,0,Network Node
