PARKING,LINK,DIR,OFFSET,TYPE,NUM_NEST,NOTES
USE,START,END,SPACE,TIME_IN,TIME_OUT,HOURLY,DAILY
1,1,0,161.0,LOT,0,Parking Lot
2,1,1,161.0,LOT,0,Parking Lot
3,2,0,161.0,LOT,0,Parking Lot
4,2,1,161.1,LOT,0,Parking Lot
5,4,0,320.0,LOT,0,Parking Lot
6,4,1,640.1,LOT,0,Parking Lot
7,4,0,640.1,LOT,0,Parking Lot
8,4,1,320.0,LOT,0,Parking Lot
9,5,0,283.5,LOT,0,Parking Lot
10,5,1,567.1,LOT,0,Parking Lot
11,5,0,567.1,LOT,0,Parking Lot
12,5,1,283.5,LOT,0,Parking Lot
13,12,0,224.0,LOT,0,Parking Lot
14,12,1,224.1,LOT,0,Parking Lot
15,15,0,219.2,LOT,0,Parking Lot
16,15,1,219.2,LOT,0,Parking Lot
17,16,0,160.9,LOT,0,Parking Lot
18,16,1,161.0,LOT,0,Parking Lot
19,18,0,160.9,LOT,0,Parking Lot
20,18,1,161.0,LOT,0,Parking Lot
23,27,0,156.9,LOT,0,Parking Lot
24,27,1,157.0,LOT,0,Parking Lot
25,29,0,161.0,LOT,0,Parking Lot
26,29,1,161.0,LOT,0,Parking Lot
27,33,0,161.0,LOT,0,Parking Lot
28,33,1,161.0,LOT,0,Parking Lot
29,35,0,300.9,LOT,0,Parking Lot
30,35,1,601.9,LOT,0,Parking Lot
31,35,0,601.9,LOT,0,Parking Lot
32,35,1,300.9,LOT,0,Parking Lot
33,36,0,299.1,LOT,0,Parking Lot
34,36,1,897.2,LOT,0,Parking Lot
35,36,0,598.1,LOT,0,Parking Lot
36,36,1,598.2,LOT,0,Parking Lot
37,36,0,897.2,LOT,0,Parking Lot
38,36,1,299.1,LOT,0,Parking Lot
39,38,0,196.0,LOT,0,Parking Lot
40,38,1,196.0,LOT,0,Parking Lot
41,39,0,165.3,LOT,0,Parking Lot
42,39,1,165.4,LOT,0,Parking Lot
43,40,0,177.4,LOT,0,Parking Lot
44,40,1,177.5,LOT,0,Parking Lot
45,42,0,194.8,LOT,0,Parking Lot
46,42,1,194.9,LOT,0,Parking Lot
47,43,0,356.5,LOT,0,Parking Lot
48,43,1,356.5,LOT,0,Parking Lot
49,45,0,161.0,LOT,0,Parking Lot
50,45,1,161.0,LOT,0,Parking Lot
51,47,0,161.0,LOT,0,Parking Lot
52,47,1,161.0,LOT,0,Parking Lot
53,56,0,443.2,LOT,0,Parking Lot
54,56,1,1329.8,LOT,0,Parking Lot
55,56,0,886.5,LOT,0,Parking Lot
56,56,1,886.5,LOT,0,Parking Lot
57,56,0,1329.7,LOT,0,Parking Lot
58,56,1,443.3,LOT,0,Parking Lot
59,58,0,283.0,LOT,0,Parking Lot
60,58,1,566.0,LOT,0,Parking Lot
61,58,0,566.0,LOT,0,Parking Lot
62,58,1,283.0,LOT,0,Parking Lot
63,68,0,323.1,LOT,0,Parking Lot
64,68,1,646.5,LOT,0,Parking Lot
65,68,0,646.5,LOT,0,Parking Lot
66,68,1,323.1,LOT,0,Parking Lot
67,69,0,258.4,LOT,0,Parking Lot
68,69,1,258.5,LOT,0,Parking Lot
69,71,0,160.6,LOT,0,Parking Lot
70,71,1,160.6,LOT,0,Parking Lot
71,73,0,243.7,LOT,0,Parking Lot
72,73,1,243.8,LOT,0,Parking Lot
73,74,0,164.7,LOT,0,Parking Lot
74,74,1,164.7,LOT,0,Parking Lot
75,75,0,271.7,LOT,0,Parking Lot
76,75,1,271.7,LOT,0,Parking Lot
77,76,0,271.0,LOT,0,Parking Lot
78,76,1,271.0,LOT,0,Parking Lot
79,83,0,160.9,LOT,0,Parking Lot
80,83,1,161.0,LOT,0,Parking Lot
81,85,0,160.8,LOT,0,Parking Lot
82,85,1,160.9,LOT,0,Parking Lot
83,91,0,161.0,LOT,0,Parking Lot
84,91,1,161.0,LOT,0,Parking Lot
85,92,0,161.0,LOT,0,Parking Lot
86,92,1,161.0,LOT,0,Parking Lot
87,93,0,161.0,LOT,0,Parking Lot
88,93,1,161.0,LOT,0,Parking Lot
89,95,0,160.9,LOT,0,Parking Lot
90,95,1,161.0,LOT,0,Parking Lot
91,96,0,161.0,LOT,0,Parking Lot
92,96,1,161.0,LOT,0,Parking Lot
93,97,0,161.0,LOT,0,Parking Lot
94,97,1,161.0,LOT,0,Parking Lot
95,131,0,199.4,LOT,0,Parking Lot
96,131,1,199.4,LOT,0,Parking Lot
97,132,0,160.9,LOT,0,Parking Lot
98,132,1,161.0,LOT,0,Parking Lot
99,134,0,161.0,LOT,0,Parking Lot
100,134,1,161.0,LOT,0,Parking Lot
101,136,0,161.0,LOT,0,Parking Lot
102,136,1,161.0,LOT,0,Parking Lot
103,137,0,206.8,LOT,0,Parking Lot
104,137,1,206.9,LOT,0,Parking Lot
105,139,0,161.0,LOT,0,Parking Lot
106,139,1,161.0,LOT,0,Parking Lot
107,140,0,197.6,LOT,0,Parking Lot
108,140,1,197.7,LOT,0,Parking Lot
109,141,0,212.5,LOT,0,Parking Lot
110,141,1,212.5,LOT,0,Parking Lot
111,142,0,159.8,LOT,0,Parking Lot
112,142,1,159.8,LOT,0,Parking Lot
113,143,0,161.0,LOT,0,Parking Lot
114,143,1,161.0,LOT,0,Parking Lot
