LINK,DIR,SIGN,NOTES
52,0,YIELD,
68,0,STOP,
102,0,YIELD,
114,0,YIELD,
128,0,YIELD,
201,0,YIELD,
204,0,YIELD,
205,0,YIELD,
209,0,YIELD,
224,0,YIELD,
242,0,YIELD,
252,1,YIELD,
255,0,STOP,
255,1,STOP,
499,0,STOP,
499,1,STOP,
523,0,YIELD,
720,0,YIELD,
851,0,YIELD,
899,0,YIELD,
907,0,YIELD,
915,0,YIELD,
923,0,YIELD,
924,0,YIELD,
969,1,YIELD,
986,1,YIELD,
994,0,YIELD,
1053,0,YIELD,
1239,0,STOP,
1268,0,STOP,
1306,0,STOP,
1306,1,STOP,
1591,0,STOP,
1594,0,STOP,
1595,0,STOP,
1738,0,YIELD,
1778,0,YIELD,
1783,1,STOP,
1784,0,STOP,
1870,1,STOP,
1935,0,YIELD,
1965,1,STOP,
1968,0,STOP,
2034,0,STOP,
2035,0,STOP,
2040,0,STOP,
2471,0,STOP,
2593,0,STOP,
2593,1,STOP,
2642,0,YIELD,
2770,0,YIELD,
2795,0,STOP,
2823,0,YIELD,
2827,1,STOP,
2874,0,YIELD,
2976,1,STOP,
3002,0,STOP,
3072,0,STOP,
3080,0,STOP,
3100,0,YIELD,
3109,0,STOP,
3185,0,YIELD,
3328,0,STOP,
3351,0,STOP,
3365,0,STOP,
3397,0,YIELD,
3431,0,STOP,
3431,1,STOP,
3445,0,YIELD,
3462,0,YIELD,
3466,0,YIELD,
3527,0,YIELD,
3533,0,YIELD,
3601,0,YIELD,
3620,0,YIELD,
3641,0,YIELD,
3823,0,STOP,
3924,1,STOP,
3953,0,YIELD,
3971,0,YIELD,
3976,0,YIELD,
4068,0,STOP,
4068,1,STOP,
4069,1,STOP,
4071,1,STOP,
4072,1,STOP,
4080,0,STOP,
4080,1,STOP,
4084,1,STOP,
4095,1,STOP,
4114,0,YIELD,
4199,0,YIELD,
4204,0,YIELD,
4239,0,STOP,
4243,0,STOP,
4313,0,YIELD,
4321,0,YIELD,
4346,0,STOP,
4354,1,STOP,
4574,0,YIELD,
4608,0,STOP,
4634,0,YIELD,
4669,0,YIELD,
4676,0,YIELD,
4774,0,YIELD,
4784,0,YIELD,
4814,0,YIELD,
4821,0,YIELD,
4858,0,YIELD,
4920,0,YIELD,
4941,0,YIELD,
4966,0,YIELD,
4976,0,YIELD,
4977,0,YIELD,
4987,0,YIELD,
5078,1,STOP,
5104,0,STOP,
5121,0,STOP,
5134,1,YIELD,
5192,0,STOP,
5225,1,STOP,
5246,1,STOP,
5382,0,STOP,
5397,0,STOP,
5415,0,STOP,
5416,0,STOP,
5425,1,STOP,
5433,0,STOP,
5435,1,STOP,
5436,0,STOP,
5437,1,STOP,
5504,1,STOP,
5517,0,STOP,
5540,0,STOP,
5550,0,STOP,
5619,0,STOP,
5822,0,STOP,
5826,0,STOP,
5827,0,STOP,
5828,0,STOP,
5837,1,STOP,
5841,0,STOP,
5844,0,STOP,
5845,1,STOP,
5846,1,STOP,
5851,0,STOP,
5900,0,STOP,
5987,1,STOP,
6037,1,STOP,
6048,1,STOP,
6055,0,STOP,
6056,1,STOP,
