STOP,NAME,LINK,DIR,OFFSET,USE,TYPE,SPACE,NOTES
1,,5615,0,55.3,BUS,STOP,2,Transit Stop
2,,6275,0,350.4,BUS,STOP,2,Transit Stop
3,,8704,0,64.7,BUS,STOP,2,Transit Stop
4,,6266,0,113.5,BUS,STOP,2,Transit Stop
5,,5501,1,67,BUS,STOP,2,Transit Stop
6,,6259,1,455.3,BUS,STOP,2,Transit Stop
7,,6157,0,694,BUS,STOP,2,Transit Stop
8,,7870,0,179.5,BUS,STOP,2,Transit Stop
9,,2042,0,45,BUS,STOP,2,Transit Stop
10,,2033,0,236.1,BUS,STOP,2,Transit Stop
11,,5778,1,66.2,BUS,STOP,2,Transit Stop
12,,5958,0,647.3,BUS,STOP,2,Transit Stop
13,,2734,0,93.9,BUS,STOP,2,Transit Stop
14,,8827,0,184.1,BUS,STOP,2,Transit Stop
15,,2731,0,749.1,BUS,STOP,2,Transit Stop
16,,7584,0,419.7,BUS,STOP,2,Transit Stop
17,,5939,0,130.8,BUS,STOP,2,Transit Stop
18,,1714,0,1031.5,BUS,STOP,2,Transit Stop
19,,7610,0,27.2,BUS,STOP,2,Transit Stop
20,,4724,0,211.4,BUS,STOP,2,Transit Stop
21,,2408,0,287.4,BUS,STOP,2,Transit Stop
22,,2426,0,30.4,BUS,STOP,2,Transit Stop
23,,3426,0,190.9,BUS,STOP,2,Transit Stop
24,,3436,0,237.1,BUS,STOP,2,Transit Stop
25,,8146,1,190.8,BUS,STOP,2,Transit Stop
26,,8827,1,257.5,BUS,STOP,2,Transit Stop
27,,3949,1,990,BUS,STOP,2,Transit Stop
28,,4116,0,145,BUS,STOP,2,Transit Stop
29,,4136,0,201.2,BUS,STOP,2,Transit Stop
30,,5328,0,27.9,BUS,STOP,2,Transit Stop
31,,3235,0,187.1,BUS,STOP,2,Transit Stop
32,,4177,0,198.2,BUS,STOP,2,Transit Stop
33,,4125,0,262.7,BUS,STOP,2,Transit Stop
34,,8826,1,250.1,BUS,STOP,2,Transit Stop
35,,60002,0,1757,BUS,EXTERNAL,2,EXTERNAL
36,,5941,0,54.1,BUS,STOP,2,Transit Stop
37,,57581,1,189,BUS,EXTERNAL,2,EXTERNAL
38,,5326,0,24,BUS,STOP,2,Transit Stop
39,,1231,0,1047,BUS,STOP,2,Transit Stop
40,,3974,0,134.2,BUS,STOP,2,Transit Stop
41,,2828,1,56.8,BUS,STOP,2,Transit Stop
42,,2817,1,99.5,BUS,STOP,2,Transit Stop
43,,6314,1,1311.5,BUS,STOP,2,Transit Stop
44,,3898,0,319,BUS,STOP,2,Transit Stop
45,,1246,0,1248.7,BUS,STOP,2,Transit Stop
46,,3117,1,31.4,BUS,STOP,2,Transit Stop
47,,870,0,257.3,BUS,STOP,2,Transit Stop
48,,3117,0,37.8,BUS,STOP,2,Transit Stop
49,,3072,0,191.1,BUS,STOP,2,Transit Stop
50,,3128,1,22.9,BUS,STOP,2,Transit Stop
51,,2410,0,165.7,BUS,STOP,2,Transit Stop
52,,2428,0,309,BUS,STOP,2,Transit Stop
53,,1218,0,117.8,BUS,STOP,2,Transit Stop
54,,8003,0,555.2,BUS,STOP,2,Transit Stop
55,,3722,0,161.6,BUS,STOP,2,Transit Stop
56,,8826,1,352.4,BUS,STOP,2,Transit Stop
57,,3719,0,407.9,BUS,STOP,2,Transit Stop
58,,6136,0,75.7,BUS,STOP,2,Transit Stop
59,,4221,0,107.8,BUS,STOP,2,Transit Stop
60,,3184,1,12.8,BUS,STOP,2,Transit Stop
61,,763,0,203.8,BUS,STOP,2,Transit Stop
62,,767,0,100.7,BUS,STOP,2,Transit Stop
63,,6027,0,743,BUS,STOP,2,Transit Stop
64,,6514,0,1053,BUS,STOP,2,Transit Stop
65,,2719,0,252.5,BUS,STOP,2,Transit Stop
66,,1798,0,264.9,BUS,STOP,2,Transit Stop
67,,7885,1,42,BUS,STOP,2,Transit Stop
68,,2767,0,181.4,BUS,STOP,2,Transit Stop
69,,685,0,141.2,BUS,STOP,2,Transit Stop
70,,684,1,391.2,BUS,STOP,2,Transit Stop
