ZONE,X_COORD,Y_COORD,Z_COORD,AREA_TYPE,NOTES
1,673673.1,3370614.5,0,8,0
2,674435.6,3370660,0,8,0
3,673583.7,3370136.5,0,8,0
4,674136.3,3370156.2,0,8,0
5,674491,3370175.5,0,8,0
6,673584.4,3369836.1,0,8,0
7,674145.6,3369863.7,0,8,0
8,674505.6,3369880.9,0,8,0
9,673646.4,3369525.4,0,8,0
10,674114,3369509.3,0,8,0
11,674459,3369551.1,0,8,0
12,673638.2,3369119.9,0,8,0
13,674143,3369145.2,0,8,0
14,674477.4,3369109.7,0,8,0
15,673574,3371555.7,0,8,0
16,674615.1,3371559.5,0,8,0
17,675559.2,3371601.1,0,8,0
18,675230.3,3370455.5,0,8,0
19,675260.3,3369697,0,8,0
20,675289.1,3369159,0,8,0
21,675347.9,3368502.9,0,8,0
22,674608.2,3368442.1,0,8,0
23,674247,3368189.2,0,8,0
24,673653.2,3368623.7,0,8,0
25,673564.7,3367398.7,0,8,0
26,674443.7,3367308.6,0,8,0
27,675326.2,3367382.6,0,8,0
28,676350.4,3368313.9,0,8,0
29,676266.3,3369115.4,0,8,0
30,676216.1,3369738.1,0,8,0
31,675894.3,3370492.2,0,8,0
32,676595.1,3370705.4,0,8,0
33,676472.6,3371800.9,0,8,0
34,677847.1,3372086,0,8,0
35,677599.4,3370949.7,0,8,0
36,676915.7,3369771.8,0,8,0
37,677028.9,3369216.7,0,8,0
38,677133.6,3368125.5,0,8,0
39,676573.5,3367089.2,0,8,0
40,676205.7,3366120.2,0,8,0
41,675543.9,3365894.6,0,8,0
42,674709.7,3365899,0,8,0
43,673428.5,3365809.9,0,8,0
44,673627.2,3364236.8,0,8,0
45,675644.2,3363868.3,0,8,0
46,676327.1,3364641.1,0,8,0
47,677189,3365484.5,0,8,0
48,677690.2,3366346.8,0,8,0
49,678144.7,3366945.8,0,8,0
50,678187.1,3367627.7,0,8,0
51,677975,3368504.5,0,8,0
52,677959.5,3369255,0,8,0
53,677965.8,3369825.4,0,8,0
54,678352.1,3371034,0,8,0
55,678984.8,3372084,0,8,0
56,679226.3,3371017.2,0,8,0
57,679275.1,3369895,0,8,0
58,679078.1,3369002.4,0,8,0
59,678790.8,3368235.5,0,8,0
60,679412.3,3367573.7,0,8,0
61,679580.2,3366353.3,0,8,0
62,678776.7,3365165.9,0,8,0
63,678402.4,3363763.5,0,8,0
