LINK,DIR,TO_LINK,LANES,TO_LANES,TYPE,PENALTY,SPEED,CAPACITY,NOTES
1,0,1883,1..2,1,THRU,0,0,0,0
2,0,1893,1..2,1..2,THRU,0,0,0,0
3,0,1894,1..2,1..2,THRU,0,0,0,0
4,0,7994,1,1,THRU,0,0,0,0
4,1,550,1,1,THRU,0,0,0,0
5,0,6192,1,1,THRU,0,0,0,0
5,1,544,1,1,THRU,0,0,0,0
5,1,8085,1,1,RIGHT,0,0,0,0
9,0,2123,1..3,1..3,THRU,0,0,0,0
9,0,6319,3,1,LEFT,0,0,0,0
10,0,2142,1..3,1..3,THRU,0,0,0,0
12,0,8018,1..2,1..2,THRU,0,0,0,0
12,1,605,1,1..2,RIGHT,0,0,0,0
12,1,959,1..2,1..2,THRU,0,0,0,0
13,0,2247,1..5,1..5,THRU,0,0,0,0
14,0,2258,1..3,1..3,THRU,0,0,0,0
15,0,2263,1..2,1..2,THRU,0,0,0,0
15,0,5990,2,1,LEFT,0,0,0,0
15,0,8049,1,1,RIGHT,0,0,0,0
16,0,536,1,1,THRU,0,0,0,0
17,0,542,1..2,1,THRU,0,0,0,0
18,0,543,1..2,1..2,THRU,0,0,0,0
19,0,58390,1..2,1..2,THRU,0,0,0,0
19,0,58391,1,1,RIGHT,0,0,0,0
20,0,879,2..3,1..2,THRU,0,0,0,0
20,0,58378,1..2,1..2,R_SPLIT,0,0,0,0
21,0,922,1,1,THRU,0,0,0,0
22,0,938,1,1,THRU,0,0,0,0
23,0,937,1..3,1..3,THRU,0,0,0,0
24,0,951,1,1..2,RIGHT,0,0,0,0
24,0,953,3,1..3,LEFT,0,0,0,0
24,0,956,1..3,1..3,THRU,0,0,0,0
24,1,2147,1..3,1..3,THRU,0,0,0,0
25,0,967,1..2,1..2,R_SPLIT,0,0,0,0
25,0,1036,3..5,1..3,THRU,0,0,0,0
27,0,1069,1..3,1..3,THRU,0,0,0,0
28,0,1214,1..2,1..2,THRU,0,0,0,0
29,0,280,1..2,1..2,THRU,0,0,0,0
30,0,329,1..2,1..2,THRU,0,0,0,0
30,0,6034,2,1,LEFT,0,0,0,0
30,0,6035,1,1,RIGHT,0,0,0,0
32,0,350,1..2,1..2,THRU,0,0,0,0
33,0,166,1..2,1..2,THRU,0,0,0,0
34,0,176,1..2,1..2,THRU,0,0,0,0
35,0,6505,1..2,1..2,THRU,0,0,0,0
35,0,8829,1,1,RIGHT,0,0,0,0
35,0,8830,2,1,LEFT,0,0,0,0
35,1,417,2,1,LEFT,0,0,0,0
35,1,441,1..2,1..3,THRU,0,0,0,0
36,0,1103,1,1..2,RIGHT,0,0,0,0
36,0,1107,1,1..2,THRU,0,0,0,0
36,1,417,1,1,RIGHT,0,0,0,0
36,1,453,1,1,LEFT,0,0,0,0
37,0,1133,1..3,1..3,THRU,0,0,0,0
38,0,1171,1..3,1..3,THRU,0,0,0,0
38,0,8038,3,1,LEFT,0,0,0,0
39,0,8044,1..2,1..2,THRU,0,0,0,0
39,1,963,2,1,LEFT,0,0,0,0
39,1,977,1..2,1..2,THRU,0,0,0,0
39,1,8041,1,1,RIGHT,0,0,0,0
40,0,1199,1,1..2,RIGHT,0,0,0,0
40,0,1208,1..2,1..2,THRU,0,0,0,0
41,0,738,1..3,1..3,THRU,0,0,0,0
41,0,8221,3,1,LEFT,0,0,0,0
41,0,54299,1,1..2,RIGHT,0,0,0,0
42,0,796,1..3,1..3,THRU,0,0,0,0
42,0,5989,3,1,LEFT,0,0,0,0
43,0,600,1,1,THRU,0,0,0,0
43,0,601,1,1,LEFT,0,0,0,0
43,0,8040,1,1,RIGHT,0,0,0,0
43,1,1114,1,1..2,RIGHT,0,0,0,0
43,1,5131,1,1,THRU,0,0,0,0
44,0,1063,1..2,1..2,THRU,0,0,0,0
45,0,143,1..2,1..2,THRU,0,0,0,0
46,0,158,1..2,1..2,THRU,0,0,0,0
47,0,96,1..2,1..2,THRU,0,0,0,0
48,0,123,1..2,1..2,THRU,0,0,0,0
49,0,52,1,1,R_SPLIT,0,0,0,0
49,0,187,1..2,1..2,THRU,0,0,0,0
50,0,6334,1,1,R_SPLIT,0,0,0,0
50,0,6335,1,1,THRU,0,0,0,0
51,0,157,1..2,1..2,THRU,0,0,0,0
52,0,6332,1,1,R_MERGE,0,0,0,0
53,0,87,1..3,1..3,R_MERGE,0,0,0,0
54,0,60,1..2,1..2,THRU,0,0,0,0
55,0,56979,1,1,THRU,0,0,0,0
56,0,53,1,1,R_MERGE,0,0,0,0
57,0,6373,1,1,R_MERGE,0,0,0,0
58,0,56977,1..2,1..2,THRU,0,0,0,0
59,0,66,1..2,1..2,THRU,0,0,0,0
60,0,107,1..2,1..2,THRU,0,0,0,0
61,0,65,1..2,1..2,THRU,0,0,0,0
62,0,61,1..2,1..2,THRU,0,0,0,0
63,0,56978,1,1,THRU,0,0,0,0
64,0,53,1..2,2..3,THRU,0,0,0,0
65,0,67,1..2,1..2,THRU,0,0,0,0
66,0,54,1..2,1..2,THRU,0,0,0,0
67,0,64,1..2,1..2,THRU,0,0,0,0
68,0,6387,1..2,1..2,THRU,0,0,0,0
69,0,55,1,1,R_SPLIT,0,0,0,0
69,0,56,1..2,1,THRU,0,0,0,0
70,0,88,1..3,1..3,THRU,0,0,0,0
71,0,93,1..2,1..2,THRU,0,0,0,0
71,0,6383,2,1,LEFT,0,0,0,0
71,0,6384,1,1,RIGHT,0,0,0,0
72,0,57,1,1,R_SPLIT,0,0,0,0
72,0,79,2,1,THRU,0,0,0,0
73,0,83,1..2,1..2,THRU,0,0,0,0
74,0,73,1..2,1..2,THRU,0,0,0,0
74,0,6383,2,1,LEFT,0,0,0,0
74,0,8273,1,1,RIGHT,0,0,0,0
75,0,81,1..2,1..2,THRU,0,0,0,0
75,0,6015,2,1,LEFT,0,0,0,0
76,0,8229,1..2,1..2,THRU,0,0,0,0
77,0,70,1..2,1..3,THRU,0,0,0,0
78,0,6017,1,1..2,THRU,0,0,0,0
79,0,78,1,1,THRU,0,0,0,0
80,0,84,1,2,R_MERGE,0,0,0,0
81,0,85,1..2,1..2,THRU,0,0,0,0
82,0,84,1,1,THRU,0,0,0,0
83,0,82,1,1,R_SPLIT,0,0,0,0
83,0,8575,1..2,1..2,THRU,0,0,0,0
84,0,77,1..2,1..2,THRU,0,0,0,0
85,0,71,1..2,1..2,THRU,0,0,0,0
