LINK,DIR,LANES,TYPE,USE,MIN_TYPE,MAX_TYPE,MIN_TRAV,MAX_TRAV,START,END,LENGTH,OFFSET,TOLL,TOLL_RATE,MIN_DELAY,MAX_DELAY,SPEED,SPD_FAC,CAPACITY,CAP_FAC
251,0,1..3,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
251,1,1..3,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
251,1,1..3,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
315,0,1..2,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
315,1,1..2,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
315,1,1..2,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
345,0,1..2,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
345,1,1..2,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
345,1,1..2,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
358,0,1..2,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
358,1,1..2,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
358,1,1..2,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
361,0,1..2,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
361,1,1..2,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
361,1,1..2,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
362,0,1..2,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
362,1,1..2,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
362,1,1..2,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
369,0,1..2,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
369,1,1..2,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
369,1,1..2,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
374,0,1..2,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
374,1,1..2,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
374,1,1..2,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
377,0,1..2,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
377,1,1..2,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
377,1,1..2,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
381,0,1..2,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
381,1,1..2,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
381,1,1..2,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
418,0,1..3,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
418,1,1..3,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
418,1,1..3,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
423,0,1..3,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
423,1,1..3,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
423,1,1..3,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
425,0,1..3,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
425,1,1..3,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
425,1,1..3,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
430,0,1..2,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
430,1,1..2,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
430,1,1..2,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
436,0,1..3,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
436,1,1..3,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
436,1,1..3,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
447,0,1..3,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
447,1,1..3,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
447,1,1..3,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
450,0,1..3,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
450,1,1..3,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
450,1,1..3,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
454,0,1..3,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
454,1,1..3,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
454,1,1..3,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
461,0,1..3,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
461,1,1..3,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
461,1,1..3,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
468,0,1..3,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
468,1,1..3,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
468,1,1..3,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
471,0,1..3,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
471,1,1..3,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
471,1,1..3,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
597,0,1..3,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
597,1,1..3,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
597,1,1..3,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
678,0,1..3,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
678,1,1..3,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
678,1,1..3,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
698,0,1..3,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
698,1,1..3,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
698,1,1..3,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
716,0,1..3,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
716,1,1..3,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
716,1,1..3,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
726,1,1,PROHIBIT,CAR|BUS,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
726,1,1,PROHIBIT,CAR|BUS,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
734,1,1,PROHIBIT,CAR|BUS,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
734,1,1,PROHIBIT,CAR|BUS,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
739,0,1..3,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
739,1,1..3,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
739,1,1..3,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
748,0,1..3,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
748,1,1..3,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
748,1,1..3,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
772,0,1..3,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
772,1,1..3,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
772,1,1..3,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
779,0,1..3,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
779,1,1..3,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
779,1,1..3,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
795,0,1..3,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
795,1,1..3,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
795,1,1..3,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
801,0,1..3,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
801,1,1..3,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
801,1,1..3,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
814,0,1..3,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
814,1,1..3,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
814,1,1..3,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
961,0,1..3,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
961,1,1..3,PROHIBIT,ANY,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
961,1,1..3,PROHIBIT,ANY,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
971,0,1..3,PROHIBIT,ANY,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00
