LOCATION,LINK,DIR,OFFSET,SETBACK,ZONE,CAP,NEXT_1,NEXT_2
1,1,0,49.1,30.5,15710,0,0,0
2,1,1,49.1,30.5,15710,0,0,0
3,2,0,49.1,30.5,15700,0,0,0
4,2,1,49.1,30.5,15730,0,0,0
5,4,0,195.1,30.5,16460,0,0,0
6,4,1,97.5,30.5,16460,0,0,0
7,4,0,97.5,30.5,16460,0,0,0
8,4,1,195.1,30.5,16460,0,0,0
9,5,0,172.9,30.5,15730,0,0,0
10,5,1,86.4,30.5,15680,0,0,0
11,5,0,86.4,30.5,15730,0,0,0
12,5,1,172.9,30.5,15730,0,0,0
13,12,0,68.3,30.5,16280,0,0,0
14,12,1,68.3,30.5,16240,0,0,0
15,15,0,66.8,30.5,16010,0,0,0
16,15,1,66.8,30.5,16010,0,0,0
17,16,0,49.1,30.5,15710,0,0,0
18,16,1,49.0,30.5,15710,0,0,0
19,18,0,49.1,30.5,15730,0,0,0
20,18,1,49.0,30.5,15700,0,0,0
23,27,0,49.1,30.5,16010,0,0,0
24,27,1,49.1,30.5,16010,0,0,0
25,29,0,49.1,30.5,53020,0,0,0
26,29,1,49.1,30.5,53020,0,0,0
27,33,0,49.1,30.5,53020,0,0,0
28,33,1,49.1,30.5,53020,0,0,0
29,35,0,183.5,30.5,15911,0,0,0
30,35,1,91.7,30.5,15911,0,0,0
31,35,0,91.7,30.5,15911,0,0,0
32,35,1,183.5,30.5,15911,0,0,0
33,36,0,273.5,30.5,15911,0,0,0
34,36,1,91.2,30.5,15911,0,0,0
35,36,0,182.3,30.5,15911,0,0,0
36,36,1,182.3,30.5,15911,0,0,0
37,36,0,91.2,30.5,15911,0,0,0
38,36,1,273.5,30.5,15911,0,0,0
39,38,0,59.7,30.5,15961,0,0,0
40,38,1,59.7,30.5,15961,0,0,0
41,39,0,50.4,30.5,15980,0,0,0
42,39,1,50.4,30.5,15980,0,0,0
43,40,0,54.1,30.5,16010,0,0,0
44,40,1,54.1,30.5,15980,0,0,0
45,42,0,59.4,30.5,15961,0,0,0
46,42,1,59.4,30.5,15961,0,0,0
47,43,0,108.7,30.5,15970,0,0,0
48,43,1,108.7,30.5,15970,0,0,0
49,45,0,49.1,30.5,52830,0,0,0
50,45,1,49.1,30.5,52830,0,0,0
51,47,0,49.1,30.5,52830,0,0,0
52,47,1,49.1,30.5,52830,0,0,0
53,56,0,405.3,30.5,52820,0,0,0
54,56,1,135.1,30.5,52710,0,0,0
55,56,0,270.2,30.5,52820,0,0,0
56,56,1,270.2,30.5,52710,0,0,0
57,56,0,135.1,30.5,52820,0,0,0
58,56,1,405.3,30.5,52820,0,0,0
59,58,0,172.5,30.5,52820,0,0,0
60,58,1,86.3,30.5,52820,0,0,0
61,58,0,86.3,30.5,52820,0,0,0
62,58,1,172.5,30.5,52820,0,0,0
63,68,0,197.2,30.5,52710,0,0,0
64,68,1,98.6,30.5,52710,0,0,0
65,68,0,98.6,30.5,52710,0,0,0
66,68,1,197.2,30.5,52710,0,0,0
67,69,0,78.8,30.5,52710,0,0,0
68,69,1,78.8,30.5,52710,0,0,0
69,71,0,49.0,30.5,52830,0,0,0
70,71,1,49.0,30.5,52830,0,0,0
71,73,0,74.3,30.5,52830,0,0,0
72,73,1,74.3,30.5,52830,0,0,0
73,74,0,50.2,30.5,52830,0,0,0
74,74,1,50.2,30.5,52830,0,0,0
75,75,0,82.8,30.5,52830,0,0,0
76,75,1,82.8,30.5,52830,0,0,0
77,76,0,82.6,30.5,52830,0,0,0
78,76,1,82.6,30.5,52830,0,0,0
79,83,0,49.1,30.5,52830,0,0,0
80,83,1,49.0,30.5,52830,0,0,0
81,85,0,49.0,30.5,52830,0,0,0
82,85,1,49.0,30.5,52830,0,0,0
83,91,0,49.1,30.5,52830,0,0,0
84,91,1,49.1,30.5,52830,0,0,0
85,92,0,49.1,30.5,52830,0,0,0
86,92,1,49.1,30.5,52830,0,0,0
87,93,0,49.1,30.5,52830,0,0,0
88,93,1,49.1,30.5,52830,0,0,0
89,95,0,49.1,30.5,52830,0,0,0
90,95,1,49.0,30.5,52830,0,0,0
91,96,0,49.1,30.5,52830,0,0,0
92,96,1,49.1,30.5,52830,0,0,0
93,97,0,49.1,30.5,52830,0,0,0
94,97,1,49.1,30.5,52830,0,0,0
95,131,0,60.8,30.5,53120,0,0,0
96,131,1,60.8,30.5,53120,0,0,0
97,132,0,49.1,30.5,53020,0,0,0
98,132,1,49.0,30.5,53120,0,0,0
99,134,0,49.1,30.5,53020,0,0,0
100,134,1,49.1,30.5,53020,0,0,0
101,136,0,49.1,30.5,53020,0,0,0
102,136,1,49.1,30.5,53020,0,0,0
103,137,0,63.1,30.5,53130,0,0,0
104,137,1,63.0,30.5,53130,0,0,0
105,139,0,49.1,30.5,53140,0,0,0
106,139,1,49.1,30.5,53140,0,0,0
107,140,0,60.3,30.5,52830,0,0,0
108,140,1,60.2,30.5,53140,0,0,0
109,141,0,64.8,30.5,53140,0,0,0
110,141,1,64.8,30.5,53140,0,0,0
111,142,0,48.7,30.5,53130,0,0,0
112,142,1,48.7,30.5,53130,0,0,0
113,143,0,49.1,30.5,52830,0,0,0
114,143,1,49.1,30.5,52830,0,0,0
115,144,0,49.1,30.5,52830,0,0,0
116,144,1,49.0,30.5,53140,0,0,0
117,145,0,49.1,30.5,52830,0,0,0
118,145,1,49.0,30.5,52830,0,0,0
119,148,0,49.1,30.5,53120,0,0,0
120,148,1,49.0,30.5,53120,0,0,0
121,149,0,49.1,30.5,53130,0,0,0
122,149,1,49.1,30.5,53130,0,0,0
123,150,0,55.0,30.5,53130,0,0,0
124,150,1,55.0,30.5,53130,0,0,0
125,151,0,56.3,30.5,53130,0,0,0
126,151,1,56.3,30.5,53130,0,0,0
127,154,0,64.5,30.5,53120,0,0,0
128,154,1,64.5,30.5,53120,0,0,0
129,160,0,61.1,30.5,53020,0,0,0
130,160,1,61.1,30.5,53110,0,0,0
131,161,0,49.1,30.5,53120,0,0,0
132,161,1,49.1,30.5,53120,0,0,0
133,162,0,49.1,30.5,53020,0,0,0
134,162,1,49.1,30.5,53120,0,0,0
135,163,0,49.1,30.5,53120,0,0,0
136,163,1,49.1,30.5,53120,0,0,0
137,164,0,49.1,30.5,53020,0,0,0
138,164,1,49.1,30.5,53020,0,0,0
139,165,0,49.1,30.5,53020,0,0,0
140,165,1,49.0,30.5,53020,0,0,0
141,166,0,49.1,30.5,53020,0,0,0
142,166,1,49.1,30.5,53020,0,0,0
143,167,0,75.9,30.5,53110,0,0,0
144,167,1,75.9,30.5,53020,0,0,0
145,168,0,49.1,30.5,53020,0,0,0
146,168,1,49.1,30.5,53020,0,0,0
147,169,0,49.1,30.5,53020,0,0,0
148,169,1,49.1,30.5,53020,0,0,0
149,170,0,49.1,30.5,53020,0,0,0
150,170,1,49.1,30.5,53020,0,0,0
151,171,0,49.1,30.5,53020,0,0,0
152,171,1,49.1,30.5,53020,0,0,0
153,172,0,49.1,30.5,53020,0,0,0
154,172,1,49.1,30.5,53020,0,0,0
155,206,0,348.6,30.5,52310,0,0,0
156,206,1,116.2,30.5,52310,0,0,0
157,206,0,232.4,30.5,52310,0,0,0
158,206,1,232.4,30.5,52310,0,0,0
159,206,0,116.2,30.5,52111,0,0,0
160,206,1,348.6,30.5,52111,0,0,0
161,208,0,421.6,30.5,52112,0,0,0
162,208,1,140.5,30.5,52112,0,0,0
163,208,0,281.1,30.5,52112,0,0,0
164,208,1,281.0,30.5,52111,0,0,0
165,208,0,140.5,30.5,52310,0,0,0
166,208,1,421.6,30.5,52310,0,0,0
167,212,0,93.0,30.5,52310,0,0,0
168,212,1,93.0,30.5,52310,0,0,0
169,214,0,95.1,30.5,52310,0,0,0
170,214,1,95.1,30.5,52310,0,0,0
171,244,0,49.1,30.5,15760,0,0,0
172,244,1,49.0,30.5,15760,0,0,0
173,245,0,473.6,30.5,15790,0,0,0
174,245,1,157.9,30.5,15790,0,0,0
175,245,0,315.8,30.5,15790,0,0,0
176,245,1,315.7,30.5,15790,0,0,0
177,245,0,157.9,30.5,15790,0,0,0
178,245,1,473.6,30.5,15790,0,0,0
179,246,0,205.8,30.5,15780,0,0,0
180,246,1,102.9,30.5,15780,0,0,0
181,246,0,102.9,30.5,15780,0,0,0
182,246,1,205.8,30.5,15780,0,0,0
183,247,0,47.4,30.5,15850,0,0,0
184,247,1,47.4,30.5,15850,0,0,0
185,250,0,46.5,30.5,15880,0,0,0
186,250,1,46.5,30.5,15880,0,0,0
187,253,0,84.2,30.5,15911,0,0,0
188,253,1,84.2,30.5,15911,0,0,0
189,254,0,49.1,30.5,15770,0,0,0
190,254,1,49.0,30.5,15760,0,0,0
191,255,0,452.5,30.5,15780,0,0,0
192,255,1,150.8,30.5,15780,0,0,0
193,255,0,301.7,30.5,15780,0,0,0
194,255,1,301.6,30.5,15780,0,0,0
195,255,0,150.8,30.5,15780,0,0,0
196,255,1,452.5,30.5,15780,0,0,0
197,256,0,259.0,30.5,16400,0,0,0
198,256,1,86.3,30.5,16400,0,0,0
199,256,0,172.6,30.5,16400,0,0,0
200,256,1,172.6,30.5,16400,0,0,0
201,256,0,86.3,30.5,16400,0,0,0
202,256,1,259.0,30.5,16400,0,0,0
203,257,0,49.1,30.5,16400,0,0,0
204,257,1,49.0,30.5,16390,0,0,0
205,263,0,49.1,30.5,15860,0,0,0
206,263,1,49.0,30.5,15860,0,0,0
207,264,0,46.4,30.5,15912,0,0,0
208,264,1,46.4,30.5,15880,0,0,0
209,268,0,101.9,30.5,16420,0,0,0
210,268,1,101.9,30.5,16420,0,0,0
211,270,0,104.6,30.5,16480,0,0,0
212,270,1,104.6,30.5,16480,0,0,0
213,271,0,244.8,30.5,16490,0,0,0
214,271,1,81.6,30.5,16480,0,0,0
215,271,0,163.2,30.5,16490,0,0,0
216,271,1,163.2,30.5,16480,0,0,0
217,271,0,81.6,30.5,16480,0,0,0
218,271,1,244.8,30.5,16480,0,0,0
219,58377,1,62.8,30.5,16480,0,0,0
220,58377,0,62.8,30.5,16490,0,0,0
221,274,0,49.1,30.5,53110,0,0,0
222,274,1,49.1,30.5,53020,0,0,0
223,276,0,49.1,30.5,53110,0,0,0
224,276,1,49.1,30.5,53020,0,0,0
225,277,0,49.1,30.5,53020,0,0,0
226,277,1,49.1,30.5,53020,0,0,0
227,278,0,49.1,30.5,53020,0,0,0
228,278,1,49.1,30.5,53020,0,0,0
229,279,0,49.1,30.5,53020,0,0,0
230,279,1,49.0,30.5,53020,0,0,0
231,280,0,49.1,30.5,53020,0,0,0
232,280,1,49.1,30.5,53020,0,0,0
233,281,0,49.1,30.5,53020,0,0,0
234,281,1,49.1,30.5,53020,0,0,0
235,282,0,49.1,30.5,53020,0,0,0
236,282,1,49.1,30.5,53020,0,0,0
237,283,0,49.1,30.5,53020,0,0,0
238,283,1,49.0,30.5,53020,0,0,0
239,284,0,49.1,30.5,53020,0,0,0
240,284,1,49.1,30.5,53020,0,0,0
241,285,0,49.1,30.5,53020,0,0,0
242,285,1,49.1,30.5,53020,0,0,0
243,286,0,49.1,30.5,53110,0,0,0
244,286,1,49.1,30.5,53020,0,0,0
245,287,0,49.1,30.5,53020,0,0,0
246,287,1,49.1,30.5,53020,0,0,0
247,288,0,49.1,30.5,53110,0,0,0
248,288,1,49.1,30.5,53020,0,0,0
249,289,0,49.1,30.5,53020,0,0,0
250,289,1,49.0,30.5,53020,0,0,0
251,290,0,49.1,30.5,53110,0,0,0
252,290,1,49.1,30.5,53020,0,0,0
253,291,0,49.1,30.5,53110,0,0,0
254,291,1,49.1,30.5,53020,0,0,0
255,292,0,49.1,30.5,53020,0,0,0
256,292,1,49.1,30.5,53020,0,0,0
257,293,0,49.1,30.5,53020,0,0,0
258,293,1,49.1,30.5,53110,0,0,0
259,294,0,65.7,30.5,15760,0,0,0
260,294,1,65.7,30.5,15760,0,0,0
261,295,0,49.1,30.5,15790,0,0,0
262,295,1,49.1,30.5,15760,0,0,0
263,296,0,49.1,30.5,15760,0,0,0
264,296,1,49.1,30.5,15760,0,0,0
265,297,0,66.9,30.5,15790,0,0,0
266,297,1,66.9,30.5,15760,0,0,0
267,298,0,49.1,30.5,15760,0,0,0
268,298,1,49.1,30.5,15760,0,0,0
269,299,0,49.1,30.5,53020,0,0,0
270,299,1,49.1,30.5,15800,0,0,0
271,302,0,49.1,30.5,15760,0,0,0
272,302,1,49.1,30.5,15760,0,0,0
273,303,0,49.1,30.5,15790,0,0,0
274,303,1,49.1,30.5,15760,0,0,0
275,304,0,49.1,30.5,15760,0,0,0
276,304,1,49.1,30.5,15760,0,0,0
277,305,0,49.1,30.5,15790,0,0,0
278,305,1,49.1,30.5,15760,0,0,0
279,306,0,49.1,30.5,15760,0,0,0
