NODE,X_COORD,Y_COORD,Z_COORD
1,772286.1,3312254.9,0
2,772550.5,3312438,0
3,772417.2,3312263.9,0
4,772729.9,3312339.5,0
5,769646.5,3313923.3,0
6,770494.6,3314343.9,0
7,772399,3313253.9,0
8,773246.9,3313185.8,0
9,772526.1,3314366.4,0
10,772956.3,3314357.9,0
11,775113.5,3321928,0
12,772461.8,3317322,0
13,772246.1,3318649.7,0
14,772395.1,3318726.9,0
15,772561.3,3319406.6,0
16,772628.2,3319406.5,0
17,772089.7,3320199.1,0
18,772537.8,3320197.4,0
19,772339.9,3322628.7,0
20,772540.6,3322617.6,0
21,772175.9,3323858.6,0
22,772613.9,3323840.1,0
23,772596.3,3312709.6,0
24,772394,3312473,0
25,772719.1,3312615.5,0
26,772477.6,3312403.5,0
27,772445.1,3317347,0
29,772467.3,3318806.6,0
30,772240.5,3318733.1,0
31,772285.1,3318727.9,0
32,772275.9,3318711.8,0
33,772462.8,3319427.4,0
34,772299.7,3319432,0
35,766447.1,3318844.7,0
36,766441.3,3318823,0
37,772342,3322686.7,0
38,772021.1,3322714.1,0
39,772318.4,3323903,0
40,772139.7,3323912.4,0
41,771773.6,3321655.6,0
42,772834.3,3321925.7,0
43,771572.7,3322320.2,0
44,772825.2,3322012.1,0
45,793559.1,3313632.4,0
46,795416.6,3313675,0
47,759612.2,3312597.1,0
48,759933.8,3312581,0
49,759668.1,3318774.8,0
50,759907.3,3318743.4,0
51,759906.3,3318776.5,0
52,759588.7,3318816.4,0
53,759656.2,3320010,0
54,759887.2,3320234.3,0
55,760073.9,3312593.5,0
56,759752.3,3312609.6,0
57,759821.9,3320211.1,0
58,759591.8,3319986.1,0
59,763659.5,3323086.6,0
60,763308,3323882.6,0
61,764381,3323160,0
62,764637.8,3324290.9,0
63,766258,3323565,0
64,766262.9,3323768.5,0
65,767902.4,3323418.6,0
66,767778,3323790.3,0
67,770400.8,3323315.2,0
68,770301,3323630.5,0
69,771306,3323566.2,0
70,771235,3323913.9,0
71,766219.9,3323771.4,0
