PARKING,LINK,DIR,OFFSET,TYPE,NUM_NEST,NOTES
USE,START,END,SPACE,TIME_IN,TIME_OUT,HOURLY,DAILY
1,1,0,161.0,LOT,0,
2,1,1,161.0,LOT,0,
3,2,0,161.0,LOT,0,
4,2,1,161.1,LOT,0,
5,4,0,320.0,LOT,0,
6,4,1,640.1,LOT,0,
7,4,0,640.1,LOT,0,
8,4,1,320.0,LOT,0,
9,5,0,283.5,LOT,0,
10,5,1,567.1,LOT,0,
11,5,0,567.1,LOT,0,
12,5,1,283.5,LOT,0,
13,12,0,224.0,LOT,0,
14,12,1,224.1,LOT,0,
15,15,0,219.2,LOT,0,
16,15,1,219.2,LOT,0,
17,16,0,160.9,LOT,0,
18,16,1,161.0,LOT,0,
19,18,0,160.9,LOT,0,
20,18,1,161.0,LOT,0,
23,27,0,156.9,LOT,0,
24,27,1,157.0,LOT,0,
25,29,0,161.0,LOT,0,
26,29,1,161.0,LOT,0,
27,33,0,161.0,LOT,0,
28,33,1,161.0,LOT,0,
29,35,0,300.9,LOT,0,
30,35,1,601.9,LOT,0,
31,35,0,601.9,LOT,0,
32,35,1,300.9,LOT,0,
33,36,0,299.1,LOT,0,
34,36,1,897.2,LOT,0,
35,36,0,598.1,LOT,0,
36,36,1,598.2,LOT,0,
37,36,0,897.2,LOT,0,
38,36,1,299.1,LOT,0,
39,38,0,196.0,LOT,0,
40,38,1,196.0,LOT,0,
41,39,0,165.3,LOT,0,
42,39,1,165.4,LOT,0,
43,40,0,177.4,LOT,0,
44,40,1,177.5,LOT,0,
45,42,0,194.8,LOT,0,
46,42,1,194.9,LOT,0,
47,43,0,356.5,LOT,0,
48,43,1,356.5,LOT,0,
49,45,0,161.0,LOT,0,
50,45,1,161.0,LOT,0,
51,47,0,161.0,LOT,0,
52,47,1,161.0,LOT,0,
53,56,0,443.2,LOT,0,
54,56,1,1329.8,LOT,0,
55,56,0,886.5,LOT,0,
56,56,1,886.5,LOT,0,
57,56,0,1329.7,LOT,0,
58,56,1,443.3,LOT,0,
59,58,0,283.0,LOT,0,
60,58,1,566.0,LOT,0,
61,58,0,566.0,LOT,0,
62,58,1,283.0,LOT,0,
63,68,0,323.1,LOT,0,
64,68,1,646.5,LOT,0,
65,68,0,646.5,LOT,0,
66,68,1,323.1,LOT,0,
67,69,0,258.4,LOT,0,
68,69,1,258.5,LOT,0,
69,71,0,160.6,LOT,0,
70,71,1,160.6,LOT,0,
71,73,0,243.7,LOT,0,
72,73,1,243.8,LOT,0,
73,74,0,164.7,LOT,0,
74,74,1,164.7,LOT,0,
75,75,0,271.7,LOT,0,
76,75,1,271.7,LOT,0,
77,76,0,271.0,LOT,0,
78,76,1,271.0,LOT,0,
79,83,0,160.9,LOT,0,
80,83,1,161.0,LOT,0,
81,85,0,160.8,LOT,0,
82,85,1,160.9,LOT,0,
83,91,0,161.0,LOT,0,
84,91,1,161.0,LOT,0,
