SIGNAL,PHASING,PHASE,MOVEMENTS,DETECTORS
MOVEMENT,LINK,DIR,TO_LINK,PROTECTION
16,1,1,4,
EB_LEFT,54774,0,6014,PROTECTED
EB_THRU,54774,0,2144,PROTECTED
EB_RIGHT,54774,0,2134,PROTECTED
NB_RIGHT,2134,1,2144,STOP_PERMIT
16,1,3,5,
EB_RIGHT,54774,0,2134,STOP_PERMIT
SB_LEFT,6014,1,2144,PERMITTED
SB_THRU,6014,1,2134,PROTECTED
NB_THRU,2134,1,6014,PROTECTED
NB_RIGHT,2134,1,2144,PROTECTED
16,1,2,2,
SB_LEFT,6014,1,2144,PROTECTED
SB_THRU,6014,1,2134,PROTECTED
17,1,1,2,
EB_LEFT,959,0,605,PROTECTED
EB_THRU,959,0,12,PROTECTED
17,1,2,5,
EB_LEFT,959,0,605,PERMITTED
EB_THRU,959,0,12,PROTECTED
NB_RIGHT,958,0,12,STOP_PERMIT
WB_THRU,12,1,959,PROTECTED
WB_RIGHT,12,1,605,PROTECTED
17,1,3,4,
NB_LEFT,958,0,959,PROTECTED
NB_THRU,958,0,605,PROTECTED
NB_RIGHT,958,0,12,PROTECTED
WB_RIGHT,12,1,605,STOP_PERMIT
22,1,2,5,
NB_THRU,8049,0,5990,PROTECTED
NB_RIGHT,8049,0,2263,PROTECTED
SB_LEFT,5990,1,2263,PERMITTED
SB_THRU,5990,1,8049,PROTECTED
EB_RIGHT,15,0,8049,STOP_PERMIT
22,1,3,4,
NB_RIGHT,8049,0,2263,STOP_PERMIT
EB_LEFT,15,0,5990,PROTECTED
EB_THRU,15,0,2263,PROTECTED
EB_RIGHT,15,0,8049,PROTECTED
22,1,1,2,
SB_LEFT,5990,1,2263,PROTECTED
SB_THRU,5990,1,8049,PROTECTED
34,1,1,2,
EB_LEFT,956,1,951,PROTECTED
WB_LEFT,24,0,953,PROTECTED
34,1,2,8,
EB_LEFT,956,1,951,PERMITTED
EB_THRU,956,1,24,PROTECTED
EB_RIGHT,956,1,953,PROTECTED
NB_RIGHT,953,0,24,STOP_PERMIT
SB_RIGHT,951,1,956,STOP_PERMIT
WB_LEFT,24,0,953,PERMITTED
WB_THRU,24,0,956,PROTECTED
WB_RIGHT,24,0,951,PROTECTED
34,1,4,8,
EB_RIGHT,956,1,953,STOP_PERMIT
NB_LEFT,953,0,956,PERMITTED
NB_THRU,953,0,951,PROTECTED
NB_RIGHT,953,0,24,PROTECTED
SB_LEFT,951,1,24,PERMITTED
SB_THRU,951,1,953,PROTECTED
SB_RIGHT,951,1,956,PROTECTED
WB_RIGHT,24,0,951,STOP_PERMIT
34,1,3,2,
NB_LEFT,953,0,956,PROTECTED
SB_LEFT,951,1,24,PROTECTED
35,1,1,2,
NB_LEFT,5986,1,625,PROTECTED
NB_THRU,5986,1,5127,PROTECTED
35,1,2,5,
NB_LEFT,5986,1,625,PERMITTED
NB_THRU,5986,1,5127,PROTECTED
SB_THRU,5127,0,5986,PROTECTED
SB_RIGHT,5127,0,625,PROTECTED
WB_RIGHT,628,0,5127,STOP_PERMIT
35,1,3,4,
SB_RIGHT,5127,0,625,STOP_PERMIT
WB_LEFT,628,0,5986,PROTECTED
WB_THRU,628,0,625,PROTECTED
WB_RIGHT,628,0,5127,PROTECTED
36,1,1,1,
SB_LEFT,5986,0,627,PROTECTED
36,1,2,2,
EB_LEFT,624,0,5986,PROTECTED
EB_THRU,624,0,627,PROTECTED
41,1,2,3,
WB_THRU,1031,0,1027,PROTECTED
WB_RIGHT,1031,0,1028,PROTECTED
WB_RIGHT,1031,0,5133,PROTECTED
41,1,1,2,
WB_RIGHT,1031,0,1028,STOP_PERMIT
WB_RIGHT,1031,0,5133,STOP_PERMIT
42,1,1,2,
SB_LEFT,5991,0,5259,PROTECTED
NB_LEFT,2248,0,5133,PROTECTED
42,1,2,8,
SB_LEFT,5991,0,5259,PERMITTED
SB_THRU,5991,0,2248,PROTECTED
SB_RIGHT,5991,0,5133,PROTECTED
WB_RIGHT,5259,1,5991,STOP_PERMIT
NB_RIGHT,5133,0,2248,STOP_PERMIT
NB_LEFT,2248,0,5133,PERMITTED
NB_THRU,2248,0,5991,PROTECTED
NB_RIGHT,2248,0,5259,PROTECTED
42,1,4,8,
SB_RIGHT,5991,0,5133,STOP_PERMIT
WB_LEFT,5259,1,2248,PERMITTED
WB_THRU,5259,1,5133,PROTECTED
WB_RIGHT,5259,1,5991,PROTECTED
NB_LEFT,5133,0,5991,PERMITTED
NB_THRU,5133,0,5259,PROTECTED
NB_RIGHT,5133,0,2248,PROTECTED
NB_RIGHT,2248,0,5259,STOP_PERMIT
42,1,3,2,
WB_LEFT,5259,1,2248,PROTECTED
NB_LEFT,5133,0,5991,PROTECTED
44,1,1,2,
NB_LEFT,5991,1,5134,PROTECTED
SB_LEFT,2230,1,5258,PROTECTED
44,1,2,8,
NB_LEFT,5991,1,5134,PERMITTED
NB_THRU,5991,1,2230,PROTECTED
NB_RIGHT,5991,1,5258,PROTECTED
WB_RIGHT,5258,1,2230,STOP_PERMIT
EB_RIGHT,5134,0,5991,STOP_PERMIT
SB_LEFT,2230,1,5258,PERMITTED
SB_THRU,2230,1,5991,PROTECTED
SB_RIGHT,2230,1,5134,PROTECTED
44,1,4,8,
NB_RIGHT,5991,1,5258,STOP_PERMIT
WB_LEFT,5258,1,5991,PERMITTED
WB_THRU,5258,1,5134,PROTECTED
WB_RIGHT,5258,1,2230,PROTECTED
EB_LEFT,5134,0,2230,PERMITTED
EB_THRU,5134,0,5258,PROTECTED
EB_RIGHT,5134,0,5991,PROTECTED
SB_RIGHT,2230,1,5134,STOP_PERMIT
44,1,3,2,
WB_LEFT,5258,1,5991,PROTECTED
EB_LEFT,5134,0,2230,PROTECTED
50,1,2,5,
NB_THRU,6035,1,6034,PROTECTED
NB_RIGHT,6035,1,329,PROTECTED
SB_LEFT,6034,0,329,PERMITTED
SB_THRU,6034,0,6035,PROTECTED
EB_RIGHT,30,0,6035,STOP_PERMIT
50,1,3,4,
NB_RIGHT,6035,1,329,STOP_PERMIT
EB_LEFT,30,0,6034,PROTECTED
EB_THRU,30,0,329,PROTECTED
EB_RIGHT,30,0,6035,PROTECTED
50,1,1,2,
SB_LEFT,6034,0,329,PROTECTED
SB_THRU,6034,0,6035,PROTECTED
51,1,1,2,
WB_LEFT,8789,0,6034,PROTECTED
WB_THRU,8789,0,8790,PROTECTED
51,1,2,1,
NB_LEFT,6034,1,8790,PROTECTED
59,1,2,5,
NB_THRU,440,0,35,PROTECTED
NB_RIGHT,440,0,417,PROTECTED
WB_RIGHT,417,1,35,STOP_PERMIT
SB_LEFT,35,1,417,PERMITTED
SB_THRU,35,1,441,PROTECTED
59,1,3,3,
NB_RIGHT,440,0,417,STOP_PERMIT
WB_LEFT,417,1,441,PROTECTED
WB_RIGHT,417,1,35,PROTECTED
59,1,1,2,
SB_LEFT,35,1,417,PROTECTED
SB_THRU,35,1,441,PROTECTED
60,1,1,2,
SB_LEFT,8830,1,6505,PROTECTED
SB_LEFT,8829,1,35,PROTECTED
60,1,2,8,
SB_LEFT,8830,1,6505,PERMITTED
SB_THRU,8830,1,8829,PROTECTED
SB_RIGHT,8830,1,35,PROTECTED
SB_LEFT,8829,1,35,PERMITTED
SB_THRU,8829,1,8830,PROTECTED
SB_RIGHT,8829,1,6505,PROTECTED
SB_RIGHT,6505,1,8830,STOP_PERMIT
NB_RIGHT,35,0,8829,STOP_PERMIT
60,1,4,8,
SB_RIGHT,8830,1,35,STOP_PERMIT
SB_RIGHT,8829,1,6505,STOP_PERMIT
SB_LEFT,6505,1,8829,PERMITTED
SB_THRU,6505,1,35,PROTECTED
SB_RIGHT,6505,1,8830,PROTECTED
NB_LEFT,35,0,8830,PERMITTED
NB_THRU,35,0,6505,PROTECTED
NB_RIGHT,35,0,8829,PROTECTED
60,1,3,2,
SB_LEFT,6505,1,8829,PROTECTED
NB_LEFT,35,0,8830,PROTECTED
61,1,2,5,
WB_THRU,453,1,417,PROTECTED
WB_RIGHT,453,1,36,PROTECTED
EB_LEFT,417,0,36,PERMITTED
EB_THRU,417,0,453,PROTECTED
SB_RIGHT,36,1,417,STOP_PERMIT
61,1,3,3,
WB_RIGHT,453,1,36,STOP_PERMIT
SB_LEFT,36,1,453,PROTECTED
SB_RIGHT,36,1,417,PROTECTED
61,1,1,2,
EB_LEFT,417,0,36,PROTECTED
EB_THRU,417,0,453,PROTECTED
62,1,1,2,
SB_LEFT,1107,0,1103,PROTECTED
SB_THRU,1107,0,36,PROTECTED
62,1,2,5,
SB_LEFT,1107,0,1103,PERMITTED
SB_THRU,1107,0,36,PROTECTED
EB_RIGHT,1105,0,36,STOP_PERMIT
NB_THRU,36,0,1107,PROTECTED
NB_RIGHT,36,0,1103,PROTECTED
62,1,3,4,
EB_LEFT,1105,0,1107,PROTECTED
EB_THRU,1105,0,1103,PROTECTED
EB_RIGHT,1105,0,36,PROTECTED
NB_RIGHT,36,0,1103,STOP_PERMIT
65,1,1,2,
EB_LEFT,5989,1,38,PROTECTED
EB_THRU,5989,1,773,PROTECTED
65,1,2,4,
EB_LEFT,5989,1,38,PERMITTED
EB_THRU,5989,1,773,PROTECTED
NB_RIGHT,800,0,773,STOP_PERMIT
WB_RIGHT,773,1,38,PROTECTED
65,1,3,3,
NB_THRU,800,0,38,PROTECTED
NB_RIGHT,800,0,773,PROTECTED
WB_RIGHT,773,1,38,STOP_PERMIT
67,1,1,2,
EB_LEFT,8041,0,39,PROTECTED
WB_LEFT,963,1,977,PROTECTED
67,1,2,8,
EB_LEFT,8041,0,39,PERMITTED
EB_THRU,8041,0,963,PROTECTED
EB_RIGHT,8041,0,977,PROTECTED
NB_RIGHT,977,0,963,STOP_PERMIT
WB_LEFT,963,1,977,PERMITTED
WB_THRU,963,1,8041,PROTECTED
WB_RIGHT,963,1,39,PROTECTED
SB_RIGHT,39,1,8041,STOP_PERMIT
67,1,4,8,
EB_RIGHT,8041,0,977,STOP_PERMIT
NB_LEFT,977,0,8041,PERMITTED
NB_THRU,977,0,39,PROTECTED
NB_RIGHT,977,0,963,PROTECTED
WB_RIGHT,963,1,39,STOP_PERMIT
SB_LEFT,39,1,963,PERMITTED
SB_THRU,39,1,977,PROTECTED
SB_RIGHT,39,1,8041,PROTECTED
67,1,3,2,
NB_LEFT,977,0,8041,PROTECTED
SB_LEFT,39,1,963,PROTECTED
70,1,1,3,
EB_LEFT,1210,0,1208,PROTECTED
EB_THRU,1210,0,1199,PROTECTED
NB_RIGHT,40,0,1199,STOP_PERMIT
70,1,2,2,
NB_THRU,40,0,1208,PROTECTED
NB_RIGHT,40,0,1199,PROTECTED
72,1,2,5,
EB_THRU,54299,0,8221,PROTECTED
EB_RIGHT,54299,0,738,PROTECTED
WB_LEFT,8221,0,738,PERMITTED
WB_THRU,8221,0,54299,PROTECTED
SB_RIGHT,41,0,54299,STOP_PERMIT
72,1,3,4,
EB_RIGHT,54299,0,738,STOP_PERMIT
SB_LEFT,41,0,8221,PROTECTED
SB_THRU,41,0,738,PROTECTED
SB_RIGHT,41,0,54299,PROTECTED
72,1,1,2,
WB_LEFT,8221,0,738,PROTECTED
WB_THRU,8221,0,54299,PROTECTED
75,1,1,2,
SB_LEFT,5131,0,1114,PROTECTED
SB_THRU,5131,0,43,PROTECTED
75,1,2,5,
SB_LEFT,5131,0,1114,PERMITTED
SB_THRU,5131,0,43,PROTECTED
EB_RIGHT,1180,0,43,STOP_PERMIT
NB_THRU,43,1,5131,PROTECTED
NB_RIGHT,43,1,1114,PROTECTED
75,1,3,4,
EB_LEFT,1180,0,5131,PROTECTED
EB_THRU,1180,0,1114,PROTECTED
EB_RIGHT,1180,0,43,PROTECTED
NB_RIGHT,43,1,1114,STOP_PERMIT
76,1,1,2,
EB_LEFT,8040,0,43,PROTECTED
WB_LEFT,601,1,600,PROTECTED
76,1,2,8,
EB_LEFT,8040,0,43,PERMITTED
EB_THRU,8040,0,601,PROTECTED
EB_RIGHT,8040,0,600,PROTECTED
WB_LEFT,601,1,600,PERMITTED
WB_THRU,601,1,8040,PROTECTED
WB_RIGHT,601,1,43,PROTECTED
NB_RIGHT,600,1,601,STOP_PERMIT
SB_RIGHT,43,0,8040,STOP_PERMIT
76,1,4,8,
EB_RIGHT,8040,0,600,STOP_PERMIT
WB_RIGHT,601,1,43,STOP_PERMIT
NB_LEFT,600,1,8040,PERMITTED
NB_THRU,600,1,43,PROTECTED
NB_RIGHT,600,1,601,PROTECTED
SB_LEFT,43,0,601,PERMITTED
SB_THRU,43,0,600,PROTECTED
SB_RIGHT,43,0,8040,PROTECTED
76,1,3,2,
NB_LEFT,600,1,8040,PROTECTED
SB_LEFT,43,0,601,PROTECTED
77,1,1,3,
SB_LEFT,1209,0,1210,PROTECTED
SB_THRU,1209,0,44,PROTECTED
EB_RIGHT,1201,0,44,STOP_PERMIT
77,1,2,2,
EB_THRU,1201,0,1210,PROTECTED
EB_RIGHT,1201,0,44,PROTECTED
120,1,2,5,
NB_THRU,6384,1,6383,PROTECTED
NB_RIGHT,6384,1,93,PROTECTED
EB_LEFT,6383,0,93,PERMITTED
EB_THRU,6383,0,6384,PROTECTED
NB_RIGHT,71,0,6384,STOP_PERMIT
120,1,3,4,
NB_RIGHT,6384,1,93,STOP_PERMIT
NB_LEFT,71,0,6383,PROTECTED
NB_THRU,71,0,93,PROTECTED
NB_RIGHT,71,0,6384,PROTECTED
120,1,1,2,
EB_LEFT,6383,0,93,PROTECTED
EB_THRU,6383,0,6384,PROTECTED
122,1,2,5,
SB_THRU,8273,0,6383,PROTECTED
SB_RIGHT,8273,0,73,PROTECTED
WB_LEFT,6383,1,73,PERMITTED
WB_THRU,6383,1,8273,PROTECTED
WB_RIGHT,74,0,8273,STOP_PERMIT
122,1,3,4,
SB_RIGHT,8273,0,73,STOP_PERMIT
WB_LEFT,74,0,6383,PROTECTED
WB_THRU,74,0,73,PROTECTED
WB_RIGHT,74,0,8273,PROTECTED
122,1,1,2,
WB_LEFT,6383,1,73,PROTECTED
WB_THRU,6383,1,8273,PROTECTED
125,1,1,1,
EB_THRU,8228,0,75,PROTECTED
125,1,2,1,
SB_LEFT,6017,0,75,PROTECTED
127,1,1,1,
SB_THRU,8575,0,76,PROTECTED
127,1,2,1,
NB_THRU,6015,0,80,PROTECTED
128,1,1,1,
SB_THRU,78,0,6017,PROTECTED
128,1,2,1,
SB_THRU,76,0,8229,PROTECTED
148,1,1,3,
WB_THRU,8343,0,6023,PROTECTED
EB_THRU,6023,1,8343,PROTECTED
NB_RIGHT,101,0,8343,STOP_PERMIT
148,1,2,2,
NB_LEFT,101,0,6023,PROTECTED
NB_RIGHT,101,0,8343,PROTECTED
168,1,2,4,
EB_THRU,6024,1,6023,PROTECTED
EB_RIGHT,6024,1,129,PROTECTED
WB_LEFT,6023,0,129,PERMITTED
WB_THRU,6023,0,6024,PROTECTED
168,1,1,2,
WB_LEFT,6023,0,129,PROTECTED
WB_THRU,6023,0,6024,PROTECTED
174,1,1,1,
SB_LEFT,6038,0,167,PROTECTED
174,1,2,2,
EB_LEFT,133,0,6038,PROTECTED
EB_THRU,133,0,167,PROTECTED
177,1,1,2,
NB_LEFT,6038,1,135,PROTECTED
NB_THRU,6038,1,6037,PROTECTED
177,1,2,5,
NB_LEFT,6038,1,135,PERMITTED
NB_THRU,6038,1,6037,PROTECTED
SB_THRU,6037,0,6038,PROTECTED
