LINK,DIR,TYPE,LANES,LENGTH,OFFSET
15,0,LEFT_TURN,1,100.0,0.0
24,0,LEFT_TURN,2,100.0,0.0
24,0,LEFT_TURN,1,100.0,0.0
30,0,LEFT_TURN,1,100.0,0.0
35,0,LEFT_TURN,1,100.0,0.0
35,1,LEFT_TURN,1,100.0,0.0
36,1,LEFT_TURN,1,100.0,0.0
39,1,LEFT_TURN,1,100.0,0.0
42,0,LEFT_TURN,1,100.0,0.0
43,0,LEFT_TURN,1,100.0,0.0
51,0,RIGHT_MERGE,1,281.2,0.0
68,0,RIGHT_MERGE,1,231.0,0.0
71,0,LEFT_TURN,1,100.0,0.0
74,0,LEFT_TURN,1,100.0,0.0
75,0,LEFT_TURN,1,100.0,0.0
78,0,RIGHT_TURN,1,50.0,0.0
89,0,LEFT_MERGE,1,300.0,0.0
101,0,LEFT_TURN,1,300.0,0.0
118,0,RIGHT_MERGE,1,312.3,0.0
133,0,LEFT_TURN,1,100.0,0.0
169,0,LEFT_TURN,1,100.0,0.0
175,0,RIGHT_MERGE,1,321.9,0.0
207,0,RIGHT_MERGE,1,303.6,0.0
214,0,RIGHT_MERGE,1,248.0,0.0
231,0,RIGHT_MERGE,1,212.0,0.0
250,0,LEFT_TURN,2,125.0,0.0
250,0,LEFT_TURN,1,150.0,0.0
259,0,RIGHT_TURN,1,100.0,0.0
270,1,LEFT_TURN,1,100.0,0.0
271,1,LEFT_TURN,1,100.0,0.0
272,0,LEFT_TURN,1,100.0,0.0
315,1,LEFT_MERGE,1,322.0,0.0
341,0,LEFT_TURN,1,100.0,0.0
355,0,RIGHT_MERGE,1,322.0,0.0
390,0,RIGHT_TURN,1,100.0,0.0
394,0,LEFT_TURN,1,100.0,0.0
397,0,RIGHT_TURN,1,100.0,0.0
403,0,LEFT_TURN,1,70.0,0.0
403,0,RIGHT_TURN,1,70.0,0.0
409,1,LEFT_TURN,1,170.0,0.0
410,1,LEFT_TURN,1,115.0,0.0
410,1,RIGHT_TURN,1,115.0,0.0
417,0,LEFT_TURN,1,100.0,0.0
417,1,LEFT_TURN,1,100.0,0.0
418,0,RIGHT_MERGE,1,224.0,0.0
422,0,LEFT_TURN,1,100.0,0.0
442,0,LEFT_TURN,1,77.5,0.0
443,0,LEFT_TURN,1,77.7,0.0
446,0,RIGHT_MERGE,1,75.0,0.0
472,0,RIGHT_MERGE,1,190.0,0.0
478,0,LEFT_TURN,1,100.0,0.0
479,1,LEFT_TURN,1,100.0,0.0
488,0,LEFT_TURN,1,100.0,0.0
489,0,LEFT_TURN,1,100.0,0.0
496,0,LEFT_TURN,1,100.0,0.0
506,0,LEFT_TURN,1,100.0,0.0
509,0,LEFT_TURN,1,100.0,0.0
514,0,LEFT_TURN,1,100.0,0.0
517,0,LEFT_TURN,1,100.0,0.0
540,0,RIGHT_MERGE,1,85.0,0.0
542,0,LEFT_MERGE,1,50.0,0.0
549,1,LEFT_TURN,1,100.0,0.0
555,0,LEFT_TURN,1,100.0,0.0
559,0,LEFT_TURN,1,100.0,0.0
573,0,LEFT_TURN,1,100.0,0.0
585,0,LEFT_TURN,1,100.0,0.0
586,0,LEFT_TURN,1,100.0,0.0
593,0,LEFT_TURN,1,100.0,0.0
600,1,LEFT_TURN,1,100.0,0.0
601,1,LEFT_TURN,1,100.0,0.0
602,0,LEFT_TURN,2,152.0,0.0
602,0,LEFT_TURN,1,152.0,0.0
602,0,RIGHT_TURN,1,152.0,0.0
603,0,LEFT_TURN,1,100.0,0.0
611,1,LEFT_TURN,1,100.0,0.0
612,1,LEFT_TURN,1,100.0,0.0
613,0,LEFT_TURN,1,64.0,0.0
623,0,LEFT_TURN,1,100.0,0.0
624,0,LEFT_TURN,1,100.0,0.0
628,0,LEFT_TURN,1,100.0,0.0
629,0,LEFT_TURN,1,100.0,0.0
643,0,LEFT_TURN,1,100.0,0.0
644,0,LEFT_TURN,1,100.0,0.0
645,0,LEFT_TURN,1,100.0,0.0
648,0,LEFT_TURN,1,100.0,0.0
650,0,LEFT_TURN,1,100.0,0.0
652,0,LEFT_TURN,1,100.0,0.0
662,1,RIGHT_TURN,1,175.0,0.0
663,1,LEFT_TURN,1,60.0,0.0
663,1,RIGHT_TURN,1,100.0,0.0
666,0,LEFT_TURN,1,100.0,0.0
666,1,LEFT_TURN,1,90.0,0.0
666,1,RIGHT_TURN,1,210.0,0.0
668,1,LEFT_TURN,1,14.2,0.0
668,1,RIGHT_TURN,1,14.2,0.0
670,0,LEFT_TURN,2,27.9,0.0
670,0,LEFT_TURN,1,27.9,0.0
670,0,RIGHT_TURN,1,27.9,0.0
672,0,LEFT_TURN,1,100.0,0.0
673,1,LEFT_TURN,1,100.0,0.0
674,1,LEFT_TURN,1,100.0,0.0
675,0,LEFT_TURN,1,95.0,0.0
678,0,LEFT_MERGE,1,322.2,0.0
682,0,LEFT_TURN,1,100.0,0.0
686,0,LEFT_TURN,1,100.0,0.0
687,0,LEFT_TURN,1,100.0,0.0
695,0,LEFT_TURN,1,100.0,0.0
696,0,LEFT_TURN,2,115.0,0.0
696,0,LEFT_TURN,1,150.0,0.0
698,0,RIGHT_MERGE,1,322.0,0.0
705,0,LEFT_TURN,1,100.0,0.0
707,0,LEFT_TURN,1,200.0,0.0
