LINK,POINTS
X_COORD,Y_COORD
1,5
772480.5,3311138.5
772509.9,3311113.7
772541.9,3311080.6
772580.9,3311025.6
772621.7,3310963.2
2,2
772388.0,3312319.4
772529.1,3312417.6
3,1
772648.6,3312326.8
4,2
770016.6,3314030.6
770294.5,3314176.6
9,2
772358.1,3317146.7
772412.0,3317231.9
16,4
772544.0,3311104.2
772530.9,3311111.9
772514.0,3311128.3
772453.3,3311162.8
17,4
772561.0,3312684.3
772480.2,3312626.1
772443.9,3312591.5
772417.7,3312539.1
18,1
772544.1,3312451.0
20,1
772388.0,3317242.9
21,3
772371.4,3318765.9
772306.0,3318744.5
772267.7,3318735.8
22,1
772297.5,3318731.4
23,1
772295.8,3318718.6
30,2
759706.1,3318766.1
759849.0,3318749.7
34,2
759800.9,3320192.3
759625.0,3320019.4
35,6
763630.5,3323238.3
763455.8,3323459.5
763342.6,3323617.6
763310.6,3323702.7
763301.8,3323754.1
763299.8,3323800.0
36,7
764354.4,3323362.9
764351.6,3323480.9
764358.2,3323620.5
764394.6,3323760.8
764450.4,3323923.1
764527.2,3324043.0
764613.5,3324184.5
45,1
753433.6,3311155.4
50,4
753877.2,3315887.7
753892.7,3315935.2
753939.1,3316032.0
753971.4,3316118.1
52,24
753942.3,3316302.5
753990.7,3316362.3
754026.3,3316411.6
754033.7,3316451.2
754036.6,3316480.7
754027.5,3316514.9
754004.0,3316555.1
753976.2,3316581.3
753947.3,3316602.4
753918.6,3316610.6
753887.8,3316609.9
753863.1,3316601.7
753826.8,3316585.6
753805.8,3316569.8
753782.7,3316545.1
753765.5,3316517.8
753757.0,3316475.5
753754.8,3316416.9
753772.5,3316370.0
753792.3,3316330.9
753833.9,3316277.0
753862.0,3316239.4
753876.7,3316218.0
753891.7,3316186.5
54,2
750347.9,3312019.1
750404.3,3312148.2
55,2
749586.2,3312648.0
749665.0,3312408.9
56,3
749854.2,3312191.8
750026.9,3311819.4
750242.6,3311395.5
57,4
750968.7,3310190.8
750962.8,3309987.4
750924.8,3309893.3
750850.2,3309813.5
58,3
750274.8,3311605.2
750266.3,3311666.0
750247.7,3311827.7
59,1
750317.8,3311556.5
60,1
750497.9,3312315.2
61,1
750362.7,3312273.7
62,1
750660.4,3312551.3
63,3
750941.0,3312813.4
750306.2,3312456.8
750140.3,3312374.0
64,2
750242.1,3311480.8
750307.9,3311287.9
65,1
750272.7,3312079.9
66,1
750293.6,3311792.3
67,2
750208.8,3311818.9
750212.2,3311668.4
68,1
749659.6,3312645.8
71,1
752026.6,3310562.3
72,1
750745.0,3310652.1
73,2
752073.3,3310612.9
751950.6,3310536.8
74,1
752312.6,3310725.0
75,3
751238.2,3309904.7
751338.3,3309961.5
751445.5,3310029.0
76,3
751547.0,3310130.0
751444.9,3310052.4
751292.6,3309952.7
77,2
751230.3,3310241.5
751077.8,3310339.7
79,1
750999.6,3310214.0
81,1
751689.4,3310237.2
83,2
751802.0,3310382.7
751677.2,3310244.8
84,1
751359.7,3310212.5
85,3
751758.0,3310303.7
751844.9,3310407.1
751928.8,3310493.2
88,1
750792.6,3310684.9
90,1
750428.1,3311268.2
91,1
752615.4,3310822.2
94,1
752576.6,3310828.4
96,1
753185.7,3311078.6
97,1
753048.4,3311001.1
100,1
752958.9,3314205.6
101,1
753349.8,3314526.8
102,9
752965.1,3314390.1
752910.5,3314332.4
752905.3,3314253.3
752917.0,3314197.1
752956.4,3314156.6
753002.2,3314138.8
753047.7,3314136.2
753099.8,3314152.3
753130.8,3314175.7
103,1
752936.8,3314250.2
104,10
753248.7,3314362.7
753201.3,3314297.6
753118.3,3314261.9
752964.8,3314250.9
752846.8,3314214.3
752781.9,3314148.8
752727.9,3314068.6
752647.3,3313927.6
752582.6,3313850.9
752514.2,3313785.3
106,1
751238.5,3312948.1
107,1
750799.3,3312585.4
113,1
751651.7,3313213.3
114,3
752894.8,3313948.3
753111.2,3314115.0
753229.2,3314253.8
116,1
752589.9,3313836.0
121,2
752859.1,3314135.5
752737.0,3313982.1
122,1
752800.3,3313957.5
124,1
753105.6,3314509.9
128,5
753271.4,3314438.4
753230.7,3314384.8
753175.4,3314361.0
753115.2,3314393.5
753092.8,3314456.9
132,1
756819.0,3312320.1
133,3
757671.6,3312602.5
757742.6,3312615.7
757808.3,3312629.5
135,2
757760.3,3312646.0
757667.4,3312624.7
137,1
755154.6,3311722.3
143,1
753790.5,3311283.1
144,1
754098.1,3311403.5
145,1
753602.1,3311238.9
146,2
754717.4,3311599.3
754622.8,3311568.2
147,1
754443.1,3311495.4
150,1
755395.5,3311807.3
151,1
755594.2,3311894.9
154,1
756145.3,3312081.8
155,1
756460.5,3312193.9
159,1
757486.8,3312546.4
161,1
757356.7,3312497.4
163,1
756842.0,3312308.8
165,1
759438.8,3312605.8
166,1
759499.6,3312622.3
167,3
757889.4,3312643.3
757972.0,3312650.4
758077.9,3312652.2
169,1
757948.0,3312673.8
171,1
758531.5,3312661.4
175,1
759574.9,3319931.1
176,1
759458.3,3319852.1
177,1
754881.5,3317595.5
178,1
754913.7,3317664.9
179,1
754213.6,3316855.7
180,1
754342.7,3317120.0
181,1
754278.3,3317117.7
188,2
754503.2,3317328.0
754666.3,3317474.7
189,2
754734.4,3317581.5
754580.3,3317475.3
190,1
754414.7,3317329.3
191,1
755756.1,3317771.0
192,1
755814.5,3317837.8
194,1
755352.5,3317764.3
195,1
755128.6,3317670.6
197,1
756186.1,3317837.3
199,1
757326.3,3318065.5
200,1
756873.2,3318011.2
201,4
758387.5,3318582.3
758664.0,3318711.3
758799.9,3318800.6
758940.5,3318866.5
202,10
758358.7,3318634.7
758540.4,3318744.8
758612.5,3318812.6
758644.0,3318909.3
758642.5,3318975.4
758601.1,3319037.3
758541.4,3319092.1
758451.5,3319129.7
758134.2,3319174.3
757914.5,3319245.2
204,6
758017.9,3319144.2
758154.6,3319074.6
758223.1,3319004.3
758243.1,3318932.6
758231.3,3318798.6
758168.7,3318673.4
205,10
758187.3,3319065.1
758358.1,3318980.9
758481.8,3318939.7
758622.7,3318929.3
758732.0,3318959.4
758853.2,3319022.8
758965.5,3319141.1
759042.4,3319244.7
759186.0,3319446.4
759282.6,3319580.8
206,3
758404.4,3319078.4
758772.5,3318976.8
759052.1,3318942.1
