SIGNAL,GROUP,TIMES,NODES
START,END,TIMING,PHASING
1,1,0,20005
2,1,0,20006
3,1,0,20007
4,1,0,20008
5,1,0,20009
6,1,0,21002
7,1,0,21003
8,1,0,21004
9,1,0,21005
10,1,0,21006
11,1,0,21007
12,1,0,21008
13,1,0,21009
14,1,0,21010
15,1,0,21011
16,0,1,16
0:00,2@12:00,1,1
17,0,1,17
0:00,2@12:00,1,1
18,1,0,23002
19,1,0,23003
20,1,0,23004
21,1,0,23005
22,0,1,22
0:00,2@12:00,1,1
23,1,0,24001
24,1,0,24002
25,1,0,24003
26,1,0,24004
27,1,0,24005
34,0,1,34
0:00,2@12:00,1,1
35,0,1,35
0:00,2@12:00,1,1
36,0,1,36
0:00,2@12:00,1,1
41,0,1,41
0:00,2@12:00,1,1
42,0,1,42
0:00,2@12:00,1,1
44,0,1,44
0:00,2@12:00,1,1
50,0,1,50
0:00,2@12:00,1,1
51,0,1,51
0:00,2@12:00,1,1
59,0,1,59
0:00,2@12:00,1,1
60,0,1,60
0:00,2@12:00,1,1
61,0,1,61
0:00,2@12:00,1,1
62,0,1,62
0:00,2@12:00,1,1
65,0,1,65
0:00,2@12:00,1,1
67,0,1,67
0:00,2@12:00,1,1
70,0,1,70
0:00,2@12:00,1,1
72,0,1,72
0:00,2@12:00,1,1
75,0,1,75
0:00,2@12:00,1,1
76,0,1,76
0:00,2@12:00,1,1
77,0,1,77
0:00,2@12:00,1,1
120,0,1,120
0:00,2@12:00,1,1
122,0,1,122
0:00,2@12:00,1,1
125,0,1,125
0:00,2@12:00,1,1
127,0,1,127
0:00,2@12:00,1,1
128,0,1,128
0:00,2@12:00,1,1
148,0,1,148
0:00,2@12:00,1,1
168,0,1,168
0:00,2@12:00,1,1
174,0,1,174
0:00,2@12:00,1,1
177,0,1,177
0:00,2@12:00,1,1
280,0,1,280
0:00,2@12:00,1,1
284,0,1,284
0:00,2@12:00,1,1
288,0,1,288
0:00,2@12:00,1,1
296,0,1,296
0:00,2@12:00,1,1
307,0,1,307
0:00,2@12:00,1,1
309,0,1,309
0:00,2@12:00,1,1
310,0,1,310
0:00,2@12:00,1,1
359,0,1,359
0:00,2@12:00,1,1
376,0,1,376
0:00,2@12:00,1,1
422,0,1,422
0:00,2@12:00,1,1
425,0,1,425
0:00,2@12:00,1,1
427,0,1,427
0:00,2@12:00,1,1
432,0,1,432
0:00,2@12:00,1,1
447,0,1,447
0:00,2@12:00,1,1
448,0,1,448
0:00,2@12:00,1,1
450,0,1,450
0:00,2@12:00,1,1
460,0,1,460
0:00,2@12:00,1,1
478,0,1,478
0:00,2@12:00,1,1
480,0,1,480
0:00,2@12:00,1,1
483,0,1,483
0:00,2@12:00,1,1
489,0,1,489
0:00,2@12:00,1,1
490,0,1,490
0:00,2@12:00,1,1
493,0,1,493
0:00,2@12:00,1,1
514,0,1,514
0:00,2@12:00,1,1
515,0,1,515
0:00,2@12:00,1,1
519,0,1,519
0:00,2@12:00,1,1
523,0,1,523
0:00,2@12:00,1,1
543,0,1,543
0:00,2@12:00,1,1
549,0,1,549
0:00,2@12:00,1,1
557,0,1,557
0:00,2@12:00,1,1
558,0,1,558
0:00,2@12:00,1,1
560,0,1,560
0:00,2@12:00,1,1
563,0,1,563
0:00,2@12:00,1,1
564,0,1,564
0:00,2@12:00,1,1
567,0,1,567
0:00,2@12:00,1,1
573,0,1,573
0:00,2@12:00,1,1
576,0,1,576
0:00,2@12:00,1,1
585,0,1,585
0:00,2@12:00,1,1
590,0,1,590
0:00,2@12:00,1,1
591,0,1,591
0:00,2@12:00,1,1
596,0,1,596
0:00,2@12:00,1,1
601,0,1,601
0:00,2@12:00,1,1
603,0,1,603
0:00,2@12:00,1,1
606,0,1,606
0:00,2@12:00,1,1
607,0,1,607
0:00,2@12:00,1,1
620,0,1,620
0:00,2@12:00,1,1
622,0,1,622
0:00,2@12:00,1,1
627,0,1,627
0:00,2@12:00,1,1
630,0,1,630
0:00,2@12:00,1,1
631,0,1,631
0:00,2@12:00,1,1
632,0,1,632
0:00,2@12:00,1,1
633,0,1,633
0:00,2@12:00,1,1
634,0,1,634
0:00,2@12:00,1,1
640,0,1,640
0:00,2@12:00,1,1
641,0,1,641
0:00,2@12:00,1,1
642,0,1,642
0:00,2@12:00,1,1
643,0,1,643
0:00,2@12:00,1,1
644,0,1,644
0:00,2@12:00,1,1
645,0,1,645
0:00,2@12:00,1,1
648,0,1,648
0:00,2@12:00,1,1
654,0,1,654
0:00,2@12:00,1,1
659,0,1,659
0:00,2@12:00,1,1
662,0,1,662
0:00,2@12:00,1,1
666,0,1,666
0:00,2@12:00,1,1
672,0,1,672
0:00,2@12:00,1,1
673,0,1,673
0:00,2@12:00,1,1
677,0,1,677
0:00,2@12:00,1,1
688,0,1,688
0:00,2@12:00,1,1
696,0,1,696
0:00,2@12:00,1,1
698,0,1,698
0:00,2@12:00,1,1
700,0,1,700
0:00,2@12:00,1,1
701,0,1,701
0:00,2@12:00,1,1
704,0,1,704
0:00,2@12:00,1,1
712,0,1,712
0:00,2@12:00,1,1
720,0,1,720
0:00,2@12:00,1,1
728,0,1,728
0:00,2@12:00,1,1
729,0,1,729
0:00,2@12:00,1,1
735,0,1,735
0:00,2@12:00,1,1
757,0,1,757
0:00,2@12:00,1,1
770,0,1,770
0:00,2@12:00,1,1
772,0,1,772
0:00,2@12:00,1,1
786,0,1,786
0:00,2@12:00,1,1
790,0,1,790
0:00,2@12:00,1,1
794,0,1,794
0:00,2@12:00,1,1
795,0,1,795
0:00,2@12:00,1,1
797,0,1,797
0:00,2@12:00,1,1
799,0,1,799
0:00,2@12:00,1,1
808,0,1,808
0:00,2@12:00,1,1
811,0,1,811
0:00,2@12:00,1,1
815,0,1,815
0:00,2@12:00,1,1
822,0,1,822
0:00,2@12:00,1,1
823,0,1,823
0:00,2@12:00,1,1
841,0,1,841
0:00,2@12:00,1,1
859,0,1,859
0:00,2@12:00,1,1
882,0,1,882
0:00,2@12:00,1,1
886,0,1,886
0:00,2@12:00,1,1
887,0,1,887
0:00,2@12:00,1,1
898,0,1,898
0:00,2@12:00,1,1
912,0,1,912
0:00,2@12:00,1,1
934,0,1,934
0:00,2@12:00,1,1
941,0,1,941
0:00,2@12:00,1,1
951,0,1,951
0:00,2@12:00,1,1
954,0,1,954
0:00,2@12:00,1,1
965,0,1,965
0:00,2@12:00,1,1
969,0,1,969
0:00,2@12:00,1,1
970,0,1,970
0:00,2@12:00,1,1
973,0,1,973
0:00,2@12:00,1,1
974,0,1,974
0:00,2@12:00,1,1
975,0,1,975
0:00,2@12:00,1,1
978,0,1,978
0:00,2@12:00,1,1
979,0,1,979
0:00,2@12:00,1,1
984,0,1,984
0:00,2@12:00,1,1
985,0,1,985
0:00,2@12:00,1,1
986,0,1,986
0:00,2@12:00,1,1
988,0,1,988
0:00,2@12:00,1,1
1000,0,1,1000
0:00,2@12:00,1,1
1004,0,1,1004
0:00,2@12:00,1,1
1005,0,1,1005
0:00,2@12:00,1,1
1009,0,1,1009
0:00,2@12:00,1,1
1011,0,1,1011
0:00,2@12:00,1,1
1018,0,1,1018
0:00,2@12:00,1,1
1022,0,1,1022
0:00,2@12:00,1,1
1023,0,1,1023
0:00,2@12:00,1,1
1025,0,1,1025
0:00,2@12:00,1,1
1029,0,1,1029
0:00,2@12:00,1,1
1033,0,1,1033
0:00,2@12:00,1,1
1036,0,1,1036
0:00,2@12:00,1,1
1047,0,1,1047
0:00,2@12:00,1,1
1049,0,1,1049
0:00,2@12:00,1,1
1064,0,1,1064
0:00,2@12:00,1,1
1067,0,1,1067
0:00,2@12:00,1,1
1071,0,1,1071
0:00,2@12:00,1,1
1072,0,1,1072
0:00,2@12:00,1,1
1076,0,1,1076
0:00,2@12:00,1,1
1082,0,1,1082
0:00,2@12:00,1,1
1083,0,1,1083
0:00,2@12:00,1,1
1095,0,1,1095
0:00,2@12:00,1,1
1096,0,1,1096
0:00,2@12:00,1,1
1098,0,1,1098
0:00,2@12:00,1,1
1101,0,1,1101
0:00,2@12:00,1,1
1102,0,1,1102
0:00,2@12:00,1,1
1112,0,1,1112
0:00,2@12:00,1,1
1114,0,1,1114
0:00,2@12:00,1,1
1118,0,1,1118
0:00,2@12:00,1,1
1121,0,1,1121
0:00,2@12:00,1,1
1126,0,1,1126
0:00,2@12:00,1,1
1132,0,1,1132
0:00,2@12:00,1,1
1133,0,1,1133
0:00,2@12:00,1,1
1136,0,1,1136
0:00,2@12:00,1,1
1146,0,1,1146
0:00,2@12:00,1,1
1148,0,1,1148
