ROUTE,NLINKS,TYPE,NAME,NOTES
LINK,DIR
1,193,1,SEN1,
5615,0
5534,0
5472,0
3420,0
3417,0
3408,0
3356,0
3375,0
3379,0
3369,0
3373,0
3352,0
3386,0
3380,0
3382,0
3398,1
5859,1
3397,0
3402,0
3384,0
3387,0
2979,0
3213,0
3210,0
3194,0
3149,0
3167,0
3163,0
3021,0
3062,0
3059,0
8794,0
8792,0
8796,0
8797,0
8798,0
8799,0
8801,0
8808,0
8810,0
54799,0
8811,0
54797,0
8812,0
54663,0
54657,0
54658,0
54647,0
54648,0
54660,0
2204,0
2208,0
2115,0
2160,0
2139,0
2152,0
2150,0
2145,0
2148,0
24,0
956,0
950,0
946,0
902,0
914,0
912,0
826,0
868,0
867,0
845,0
859,0
603,0
668,0
666,0
662,0
654,0
660,0
657,0
658,0
618,0
637,0
638,0
623,0
633,0
630,0
261,0
54505,0
410,0
404,0
390,0
8770,0
8771,0
8772,0
6277,0
6279,0
6280,0
6278,0
6275,0
6008,0
6009,0
320,0
392,0
394,0
388,0
402,0
410,1
54505,1
261,1
631,0
629,0
632,0
621,0
636,0
616,0
656,0
655,0
659,0
653,0
662,1
666,1
668,1
603,1
861,0
843,0
866,0
821,0
911,0
913,0
897,0
945,0
950,1
956,1
24,1
2147,0
54774,0
2144,0
2149,0
2151,0
2135,0
2159,0
2110,0
2207,0
2201,0
54661,0
54651,0
54652,0
54653,0
54654,0
54664,0
2189,0
8811,1
54799,1
54800,0
2081,0
2406,0
2460,0
2464,0
2462,0
54669,0
1809,0
3078,0
3009,0
3035,0
3057,0
3054,0
54759,0
3165,0
3157,0
3141,0
3188,0
3191,0
3209,0
2953,0
3385,0
3381,0
3395,0
5510,0
8533,1
8531,1
5855,1
5856,1
3357,0
3371,0
3377,0
3378,0
3374,0
3353,0
3410,0
3419,0
3414,0
5531,0
8703,0
8704,0
2,77,1,EVA2,
6266,0
6267,0
6261,0
6102,1
3843,0
6119,1
6118,1
6117,0
3990,0
6149,0
4007,0
3999,0
4001,0
4002,0
1756,0
2949,0
2944,0
2947,0
2946,0
2882,0
2941,0
2933,0
2896,0
2893,0
2911,0
2910,0
5777,0
5810,0
5811,0
5501,1
8721,0
5962,1
5792,0
5501,0
5773,0
7890,0
7889,1
5939,1
5938,1
5937,1
2977,0
3192,0
5831,0
5834,0
3202,0
3146,0
8462,0
3199,0
1851,0
2771,0
2781,0
2617,0
2915,0
2894,0
2907,0
2892,0
2928,0
2940,0
2880,0
2945,0
2943,0
2948,0
2950,0
1724,0
4000,0
4004,0
3945,0
3977,0
6095,0
8150,1
6116,1
3843,1
6102,0
6261,1
6260,1
1725,1
6259,1
3,68,1,SEN3,
6157,0
7872,1
2889,1
7882,1
5968,1
2614,1
2613,0
2902,0
2903,0
2898,0
2900,0
2905,0
2890,0
5915,0
5969,0
5911,0
5492,0
5488,0
8817,0
8818,0
54837,0
8819,0
2918,1
5919,1
5766,1
5776,1
5777,0
5810,0
5811,0
5501,1
8721,0
5962,1
5792,0
5501,0
5773,0
7890,0
5789,0
5461,1
5460,1
5459,1
5458,1
7847,1
5457,1
2897,0
7848,0
2927,0
2914,0
7852,0
8654,0
8655,0
8683,0
8686,0
8687,0
8688,0
8689,0
8690,0
8691,0
5246,0
7873,0
2889,0
7872,0
2887,0
7874,0
2886,0
2885,0
7869,0
6160,0
7870,0
4,79,1,SEN4,
2042,0
2032,0
2039,0
2041,0
8634,0
2029,0
2031,0
2015,0
1796,0
2419,0
2421,0
2427,0
2409,0
5423,0
2438,0
2452,0
2448,0
3044,0
3047,0
2999,0
3008,0
3048,0
3035,0
3057,0
3054,0
54759,0
3166,0
3158,0
3161,0
3139,0
3204,0
3196,0
5942,1
8458,1
5941,1
5939,0
7889,0
7890,1
5773,1
5501,1
8721,0
5962,1
5792,0
5501,0
5773,0
7890,0
7889,1
5939,1
5941,0
8458,0
5942,0
5940,0
6150,0
8231,0
3147,0
3168,0
3160,0
3020,0
3062,0
3059,0
3039,0
3003,0
3091,0
3098,0
3032,0
3045,0
1838,0
2451,0
2441,0
2416,0
2414,0
2425,0
2422,0
5385,0
5384,0
2420,0
1802,0
2021,0
2033,0
5,46,1,EVA5,
5778,1
2765,1
2766,1
7914,1
2747,1
2759,0
2763,0
2750,0
2779,0
2778,0
2772,0
2776,0
2616,0
2908,0
8536,0
5792,0
5501,0
5773,0
7890,0
5820,1
8711,0
5811,0
5501,1
8721,0
5962,1
5792,0
5501,0
5773,0
7890,0
5820,1
8711,0
5811,0
5501,1
8721,0
8722,0
8723,0
7888,1
1831,1
2752,1
2765,0
5778,0
5957,0
8715,0
8716,0
5934,1
5958,0
6,51,1,SEN6,
2734,0
7974,0
2728,0
7973,0
5966,0
2740,1
2691,0
7901,0
5956,0
2694,0
2689,0
2757,0
2759,0
2763,0
2749,0
2780,0
1827,0
3206,0
3187,0
3192,1
8828,1
8827,0
5937,1
2977,0
3192,0
5831,0
5834,0
3203,0
1849,0
2753,0
2760,0
2762,0
2758,0
2696,0
2715,0
2694,1
5956,1
7901,1
2691,1
2740,0
5966,1
7973,1
2728,1
7974,1
2734,1
2730,1
2610,0
7879,0
7876,1
2611,1
2731,0
7,176,1,EVA7,
7584,0
5088,0
1713,0
4953,0
4951,0
4949,0
4864,0
4948,0
4947,0
4862,0
4909,0
4874,0
4888,0
4883,0
4886,0
4714,0
4810,0
4807,0
4802,0
4804,0
4728,0
4749,0
4753,0
4743,0
4734,0
4741,0
4738,0
1776,0
4344,0
4341,0
4334,0
4338,0
7621,0
4309,0
4331,0
4328,0
4311,0
4326,0
4317,0
4320,0
4322,0
4114,0
4315,0
4112,0
4244,0
4253,0
4241,0
4248,0
4246,0
4190,0
4232,0
4222,0
4205,0
4215,0
4185,0
4197,0
4196,0
4195,0
1759,0
3655,0
3649,0
3607,0
3633,0
3635,0
2995,0
3536,0
3526,0
3528,0
3346,0
3448,0
3476,0
3463,0
3459,0
3468,0
3335,0
3407,0
3402,0
3384,0
3387,0
2980,0
2956,0
5515,0
5516,0
5517,0
5842,0
5843,0
5844,0
5845,0
7894,0
5846,0
5937,0
5938,0
5939,0
7889,0
5789,0
3362,0
5846,1
7894,1
5845,1
5844,1
3358,0
5633,0
3361,0
3364,0
3350,0
3385,0
3381,0
3396,0
3406,0
3330,0
3464,0
3457,0
3460,0
3471,0
3444,0
3339,0
3521,0
3522,0
3531,0
2988,0
3634,0
3632,0
3605,0
3645,0
1739,0
4194,0
4182,0
4212,0
4198,0
4224,0
4218,0
4186,0
4247,0
4245,0
4238,0
4252,0
4242,0
4106,0
4318,0
4323,0
4314,0
4316,0
4310,0
4330,0
4327,0
4308,0
4337,0
4335,0
4332,0
4342,0
4340,0
1763,0
4737,0
4740,0
4731,0
4742,0
4752,0
4748,0
4721,0
4803,0
4805,0
4800,0
4808,0
4806,0
4704,0
4885,0
4887,0
4880,0
4869,0
4906,0
4915,0
4859,0
4946,0
5154,1
4866,1
1714,0
8,146,1,EVA8,
7610,0
4723,0
4778,0
4780,0
4772,0
4789,0
4790,0
4774,0
4562,0
4693,0
4691,0
4628,0
4671,0
4677,0
4622,0
4647,0
4646,0
4632,0
4638,0
8566,0
8567,0
8568,0
4599,0
4602,0
4603,0
1773,0
4325,0
4315,0
4112,0
4244,0
4253,0
4241,0
4248,0
4246,0
4190,0
4232,0
4222,0
4205,0
4215,0
4185,0
4197,0
4196,0
4195,0
1759,0
3655,0
3649,0
3607,0
3633,0
3635,0
